data_id,id,classe,darija_arabic,darija_arabizi,english,modern_standard_arabic,english_word_count,status,similarity_score,similarity_da_en,similarity_en_msa,similarity_arabizi_da,consistency_flag,qc_notes
data52044,WIKI_D_01731,D,المعلومات ديال HDF اللي عطاونا كانت غنية بزاف للعلماء ديال الكون باش يحللوها و مع اللخر ديال 2014، المقالة العلمية اللي متعلقة بالصورة وصلات لأكثر من 900 استشهاد. واحد من أهم النتائج الأساسية كان الاكتشاف ديال عدد كبير من المجرات اللي عندها قيم انزياح نحو الأحمر عالية.,"l3lmtyat dyal HDF lli 3tawna kanet ghnya bzzaf l3olama dyal lkon bach yhlluha w m3a lkher dyal 2014, lmaqala l3ilmiya lli met3llaqa bsswira waslat l aktar mn 900 istishhad. Wahd mn aham natai'j l'asasiya kan lktichaf dyal 3adad kbir mn lmjarrat lli 3ndha qiyam inziyah nahu l a7mar 3alya.",The HDF data provided extremely rich material for cosmologists to analyse and by late 2014 the associated scientific paper for the image had received over 900 citations. One of the most fundamental findings was the discovery of large numbers of galaxies with high redshift values.,قدمت بيانات HDF مادة غنية للغاية لعلماء الكون لتحليلها، وبحلول أواخر عام 2014، تلقت الورقة العلمية المرتبطة بالصورة أكثر من 900 استشهاد. كان أحد أهم الاكتشافات الأساسية هو اكتشاف أعداد كبيرة من المجرات ذات قيم الانزياح الأحمر العالية.,47,GENERATED,0.338848,0.391365,0.426566,0.198613,CORRECTED,"Embedding suspicious (score=0.339; da-en=0.391, en-msa=0.427, arabizi-da=0.199); LLM consistent=False; corrected_fields=darija_arabizi; issues=darija_arabizi contains mixed Arabic and Latin script in 'نحو' which is Arabic script, inconsistent with Arabizi style; notes=The Darija Arabizi version contained the Arabic word 'نحو' (nahu) in Arabic script instead of Latin script, which is inconsistent with the Arabizi style. It was minimally corrected to maintain semantic consistency.."
data52045,DATA_8123,A,جي مرحبا بيك، حاول هكذا,"ji marhba bik, 7awel hakda","come, welcome, try like this",تعال، مرحباً بك، حاول هكذا,5,PARTIALLY VALIDATED,0.291537,0.148537,0.480894,0.245178,CORRECTED,"Embedding suspicious (score=0.292; da-en=0.149, en-msa=0.481, arabizi-da=0.245); LLM consistent=False; corrected_fields=darija_arabic,darija_arabizi,english,modern_standard_arabic; issues=The original Darija Arabic and Darija Arabizi contain greetings and unclear phrases that do not match the English and MSA translations.; The English translation 'try to it like that' is unclear and does not reflect the greeting in the Darija versions.; The MSA 'حاول ذلك هكذا' means 'try that like this' but lacks the greeting present in Darija.; notes=The original Darija versions include a greeting and a question that are not reflected in the English and MSA versions. The corrected versions align all fields to a consistent meaning: a greeting followed by an encouragement to try something in a certain way.."
data52046,WIKI_C_03172,C,والاس، هيلين (2007). بوزي وهاوكس: قصة النشر. لندن: بوزي وهاوكس ميوزك بابليشرز ليميتد. ISBN 978-0-514-0.,"wales, helen (2007). boozey & hawkes: qesset nashr. london: boozey & hawkes music publishers ltd. isbn 978-0-514-0.","Wallace, Helen (2007). Boosey & Hawkes: The Publishing Story. London: Boosey & Hawkes Music Publishers Ltd. ISBN 978-0-514-0.",والاس، هيلين (2007). بوزي وهاوكس: قصة النشر. لندن: بوزي وهاوكس ميوزك بابليشرز ليميتد. ISBN 978-0-514-0.,25,GENERATED,0.408464,0.412273,0.439703,0.373416,CORRECTED,"Embedding suspicious (score=0.408; da-en=0.412, en-msa=0.440, arabizi-da=0.373); LLM consistent=False; corrected_fields=darija_arabic,darija_arabizi,english,modern_standard_arabic; issues=Inconsistent spelling of the author's name: 'والاس' vs 'هيلين' vs 'wales' vs 'Wallace'. Corrected to 'والاس' and 'Wallace' as appropriate.; Inconsistent and incorrect ISBN formatting and missing digits in all versions.; Inconsistent publisher name spelling: 'بوزي اند هاوكس' vs 'بوزي وهاوكس' vs 'boozey & hawkes' vs 'Boosey & Hawkes'. Corrected to 'بوزي وهاوكس' and 'Boosey & Hawkes'.; Inconsistent city name spelling: 'لندن' vs 'londen' vs 'London'. Corrected to 'لندن' and 'London'.; notes=The main issues were inconsistent transliterations and typographical errors in the ISBN and publisher names. The English version had the author's name as 'Wallace, Helen' while the Darija Arabizi had 'wales, helen' which was corrected to match the English. The ISBN was incomplete and incorrectly formatted in all versions; it was standardized to '978-0-514-0' though this still seems incomplete for a real ISBN. The publisher name was corrected to 'Boosey & Hawkes' in English and 'بوزي وهاوكس' in Arabic versions for consistency.."
data52047,WIKI_D_11593,D,واحد القصة ثانوية فيها بيت ماقادرش ياخد دقيقة ديال الراحة بوحدو فالخدمة حيت كينيث كيهضر معاه بزاف. ولكن فاللخر، بيت كيلقى الراحة فاش كيدوز الوقت مع المشردين وكيقدر يصبر لهضرة كينيث بزاف.,"wa7d lqssah tanawiya fiha Pete ma9adch yakhd d9i9a dyal ra7a bo7do f lkhdma 7it Kenneth kiyhdar m3ah bzaf. walakin fel l5r, Pete kayl9a ra7a fach kaydzoz lwa9t m3a lmocharideen w9dar yosbr lhdrt Kenneth bzaf.","A subplot involves Pete not being able to have a moment alone at work because of Kenneth continuously talking to him. However, Pete ultimately finds a release by hanging out with homeless people and is able to tolerate Kenneth's jabbering.",تتضمن حبكة فرعية عدم قدرة بيت على أخذ لحظة خاصة به في العمل بسبب حديث كينيث المتواصل معه. ومع ذلك، يجد بيت في النهاية متنفسًا من خلال قضاء الوقت مع المشردين ويصبح قادرًا على تحمل ثرثرة كينيث.,32,GENERATED,0.232418,0.227363,0.23821,0.231682,CORRECTED,"Embedding suspicious (score=0.232; da-en=0.227, en-msa=0.238, arabizi-da=0.232); LLM consistent=True; corrected_fields=english; issues=none; notes=All four versions consistently convey the same meaning about Pete's difficulty finding a moment alone at work due to Kenneth's constant talking, and Pete ultimately finding relief by spending time with homeless people and tolerating Kenneth's chatter.."
data52048,WIKI_D_01926,D,"نهار 18 شهر تسعود عام 2011, بدات واحد السلسلة جديدة سميتها ""The Bound for Glory Chronicles"" فالسيت ديال TNA. البرنامج كان فيه حوارات حصرية مع المصارعين كيهضرو على الذكريات ديالهم من فعاليات Bound for Glory اللي دازو. المصارعين اللي كانو باينين كانو فيهم جيف جاريت و مات مورغان.","nhar 18 shhr ts3oud 3am 2011, bdat wa7d silsila jdiida smitha ""The Bound for Glory Chronicles"" f site dyal TNA. lprogram kan fih 7iwaraat 7sriya m3a lmsare3in kayhdo 3la zdikrayathom mn fe3aliyat Bound for Glory li dazou. lmsare3in li kanou baynin kanou fihom Jeff Jarrett w Matt Morgan.","On September 18, 2011, a new series called The Bound for Glory Chronicles debuted on TNA's website. The show featured exclusive interviews with wrestlers talking about their memories from previous Bound for Glory events. The wrestlers featured included Jeff Jarrett and Matt Morgan.","في الثامن عشر من سبتمبر عام 2011، بدأت سلسلة جديدة بعنوان ""The Bound for Glory Chronicles"" على موقع TNA. تضمن البرنامج مقابلات حصرية مع مصارعين يتحدثون عن ذكرياتهم من فعاليات Bound for Glory السابقة. وشمل المصارعون المتميزون جيف جاريت ومات مورغان.",48,GENERATED,0.649812,0.618516,0.800885,0.530036,CORRECTED,"Embedding suspicious (score=0.650; da-en=0.619, en-msa=0.801, arabizi-da=0.530); LLM consistent=True; corrected_fields=english; issues=none; notes=All four versions consistently describe the launch date, the series name, the platform (TNA website), the content (exclusive interviews with wrestlers about Bound for Glory memories), and mention Jeff Jarrett and Matt Morgan as featured wrestlers.."
data52049,WIKI_D_09483,D,أولكسياك تخرّجات بشهادة فالدراسات الثقافية من جامعة آدم ميكيفيتش، بوزنان، بولندا، من 1997 حتى 2000. وملّي كانت كتقرا ف لاغوارديا كوليدج، ربحات جائزة نادي الفنون الوطني على النحت. الأعمال اللولة ديالها كانت فيها منحوتات، أزياء، و منتوجات قابلة للنفخ.,"oleksiak tkherret bcheheda fdarat thiqafatye men jami3a adam mikiivitch, poznaan, bolanda, men 1997 hatta 2000. w melli kanet ktaqra f laguardia college, rab7at jaa2izet nadi lfanani lwatani 3la na7t. l3mal lwla dyalha kanet fiha man7utat, azyaa2, w montujat qabila lilnafkh.","Oleksiak graduated with a degree in Cultural Studies from Adam Mickiewicz University, Poznań, Poland, from 1997 to 2000. While studying at LaGuardia College, she won the National Arts Club's award for sculpture. Her early work included sculptures, costumes, and inflatables.",تخرجت أولكسياك بدرجة علمية في الدراسات الثقافية من جامعة آدم ميكيفيتش، بوزنان، بولندا، في الفترة من عام 1997 إلى عام 2000. وحصلت، أثناء دراستها في كلية لاغوارديا، على جائزة نادي الفنون الوطني للنحت. وشملت أعمالها المبكرة منحوتات وأزياء ومنتجات قابلة للنفخ.,40,GENERATED,0.35123,0.340692,0.45471,0.258287,CORRECTED,"Embedding suspicious (score=0.351; da-en=0.341, en-msa=0.455, arabizi-da=0.258); LLM consistent=False; corrected_fields=darija_arabic,darija_arabizi,english,modern_standard_arabic; issues=darija_arabizi: 'montajat' misspelled as 'montujat'; modern_standard_arabic: 'منتفخات' should be 'منتجات' to match meaning of 'inflatables'; english: missing space in 'Club 's'; notes=The Darija Arabizi version had a minor typo in 'montujat' which should be 'montajat'. The MSA version used 'منتفخات' (inflated) which is incorrect; it should be 'منتجات' (products) to align with 'inflatables'. The English version had an extra space in 'Club 's' which was corrected to 'Club's'. All versions now consistently convey the same meaning.."
data52050,DATA_18763,B,"الاسم ""Old Coast Road"" تّبنى رسمياً ف 27 يناير 1959، والطريق مبلط تكمّل ف شهر 9 عام 1969.","l'ism ""Old Coast Road"" tّbna rasmiyan f 27 yanayr 1959, u ttriq mblat tkmّl f chher 9 3am 1969.","The name ""Old Coast Road"" was formally adopted on 27 January 1959, and the paved road was completed in September 1969.","تم اعتماد اسم ""طريق الساحل القديم"" رسميًا في 27 يناير 1959، وتم الانتهاء من تعبيد الطريق في سبتمبر 1969.",25,GENERATED,0.671817,0.744364,0.623004,0.648082,CORRECTED,"Embedding suspicious (score=0.672; da-en=0.744, en-msa=0.623, arabizi-da=0.648); LLM consistent=False; corrected_fields=darija_arabic,darija_arabizi,english; issues=The English version uses 'sealed road' which is less clear than 'paved road' or 'tarmacked road' as in the Arabic versions.; Darija Arabic uses 'مڭلفة' which literally means 'costly' or 'expensive', inconsistent with the intended meaning of 'paved' or 'sealed'.; Darija Arabizi uses 'mklfa' which corresponds to 'مكلّفة' (costly), inconsistent with the intended meaning.; notes=The main inconsistency is the use of 'مڭلفة'/'mklfa' in Darija versions, which means 'costly' rather than 'paved' or 'sealed'. The English 'sealed road' is less common and may cause confusion; 'paved road' is clearer and matches the Arabic meaning. Corrected Darija to use 'مبلط'/'mblat' meaning 'paved' to align with MSA and English.."
data52051,WIKI_D_08014,D,شاكتيزم كيشوف ديڤي هي المصدر والأصل والجوهر ديال كاع شي حاجة تقريبا فالتكوين، اللي باينة واللي مخفية، حتى الشيفا براسو. في ديڤي باڠاڤاتا پورانا، واحد الكتاب مقدس مهم عند الشاكتيين، ديڤي كاتݣول:,"shaktism kishuf devi hiya lmasdar walasl wajawhar dyal ka3 shi 7aja ta9riban ftakwin, lli bayna wlli mkhbya, 7ta shiva brasu. f devi bhagavata purana, wa7d lktab mkddas mohim 3nd shaktiyin, devi kat9ol:","Shaktism views the Devi as the source, essence and substance of virtually everything in creation, seen or unseen, including Shiva himself. In the Devi Bhagavata Purana, a central Shakta scripture, the Devi declares:","تنظر الشاكتية إلى الإلهة ""ديفي"" على أنها المصدر والجوهر والمادة لكل شيء تقريبًا في الخلق، المرئي وغير المرئي، بما في ذلك ""شيفا"" نفسه. في ""ديفي بهاگافاتا بورانا""، وهو نص مقدس مركزي عند الشاكتيين، تعلن الإلهة ""ديفي"":",32,GENERATED,0.308041,0.251543,0.398412,0.274167,CONSISTENT,"Embedding suspicious (score=0.308; da-en=0.252, en-msa=0.398, arabizi-da=0.274); LLM consistent=True; corrected_fields=none; issues=none; notes=All four versions consistently convey the same meaning about Shaktism's view of Devi as the source and essence of creation, including Shiva, and reference the Devi Bhagavata Purana as a central sacred text where Devi declares something.."
data52052,WIKI_D_04039,D,المنتخب الوطني ديال سان مارينو هو المنتخب اللي كايمثل سان مارينو و كا تشرف عليه الجامعة ديال كرة القدم ديال سان مارينو. هاد الفريق كايمثل ثاني أصغر عدد ديال السكان في أي دولة عضو في اليويفا.,lmontakhb lwaTani dyal san marino howa lmontakhb li kayemtel san marino w ka yechref 3lieh l jami3a dyal kora lkadam dyal san marino. had lfarik kayemtel tani asghar 3adad dyal ssokan f ay dawla 3adw f l'uefa.,"The San Marino national football team (Italian: Nazionale di calcio di San Marino) is the national football team of San Marino, controlled by the San Marino Football Federation (FSGC). The team represents the second smallest population of any UEFA member.",منتخب سان مارينو الوطني لكرة القدم (بالإيطالية: Nazionale di calcio di San Marino) هو منتخب كرة القدم الوطني لسان مارينو، تحت سيطرة اتحاد سان مارينو لكرة القدم (FSGC). يمثل المنتخب ثاني أصغر عدد من السكان بين أي عضو في الاتحاد الأوروبي لكرة القدم (UEFA).,36,GENERATED,0.465745,0.409759,0.644638,0.342838,CORRECTED,"Embedding suspicious (score=0.466; da-en=0.410, en-msa=0.645, arabizi-da=0.343); LLM consistent=False; corrected_fields=darija_arabic,darija_arabizi,english; issues=English version misspells the Italian name as 'Nazionale di di San Marino' instead of 'Nazionale di calcio di San Marino'.; English version omits the abbreviation 'FSGC' for the San Marino Football Federation.; Darija Arabic version uses 'الويفا' instead of 'اليويفا' which is less standard but acceptable; corrected to 'اليويفا' for consistency.; Darija Arabizi version uses 'lkدم' instead of 'lkadam' (football), corrected for clarity.; notes=The main inconsistencies were in the English version's Italian name and missing federation abbreviation, and minor spelling issues in Darija versions. Corrected these to align all versions semantically and terminologically.."
data52053,DATA_16246,B,التفاعلات ديال باتمان مع الأشرار و صحابو بجوج، مع مرور الوقت، طورت مجموعة قوية ديال الشخصيات اللي كتدعمو.,"T-tefa3olat dyal Batman m3a l-ashrar o shabo bjoj, m3a مرور l-waqt, towrat majmo3a qwiya dyal shakhsiyat li katd3mo.","Batman 's interactions with both villains and cohorts have, over time, developed a strong supporting cast of characters.",لقد طورت تفاعلات باتمان مع كل من الأشرار والرفقاء، بمرور الوقت، مجموعة قوية من الشخصيات الداعمة.,21,GENERATED,0.323698,0.27838,0.354991,0.337724,CONSISTENT,"Embedding suspicious (score=0.324; da-en=0.278, en-msa=0.355, arabizi-da=0.338); LLM consistent=True; corrected_fields=none; issues=none; notes=All versions consistently convey that Batman's interactions with villains and his companions over time have developed a strong supporting cast of characters.."
