data_id,id,classe,darija_arabic,darija_arabizi,english,modern_standard_arabic,english_word_count,status,qc_changed_fields,qc_notes
data73054,DATA_4849,A,شكران حيت بقيتي معايا,chokran 7it b9iti m3aya,Thank you for staying with me,شكراً لأنك بقيت معي,6,PARTIALLY VALIDATED,english;modern_standard_arabic,MSA corrected to a more natural and faithful expression matching the Darija meaning.
data73055,WIKI_C_04728,C,الفرقة د كندا ف بطولة العالم د الهوكي جينيور ف 2005 طحنوا كولشي، ماركاو 35 بيت ضد 6 ف الماتشات اللي وصلوهم للنهائي ضد روسيا.,"lfer9a d canada f butulat l3alam d hockey junior f 2005 ta7naw kolchi, markaw 35 bit d 6 f lmatchat lli waslohom l finale d russya.","The Canadian team at the 2005 World Junior Ice Hockey Championships dominated the tournament, outscoring their opposition 35–6 in the games leading up to the final against Russia.",سيطرت الفرقة الكندية في بطولة العالم لهوكي الجليد للناشئين عام 2005 على البطولة، مسجلة 35 هدفًا مقابل 6 أهداف للخصوم في المباريات التي سبقت المباراة النهائية ضد روسيا.,25,GENERATED,darija_arabizi;english;modern_standard_arabic,Corrected English by removing MT artifact '@-@'. Fixed Arabizi 'd4' to 'd' for 'ضد'.
data73056,DATA_6838,A,كايصوب واحد طونوبيل,kayssob wa7d tonobil,He is building a car,إنه يبني سيارة,6,PARTIALLY VALIDATED,darija_arabic;darija_arabizi;english;modern_standard_arabic,Corrected spelling errors in Darija Arabic and Arabizi. Adjusted English and MSA to faithfully reflect the meaning of 'كايصوب' as 'building' rather than 'repairing'.
data73057,DATA_2679,A,ولكن مازال كانسمعهم,walakin mazal kansmahom,But I still hear them,لكنني ما زلت أسمعهم,5,PARTIALLY VALIDATED,darija_arabizi,Corrected Arabizi 'kansma38om' to 'kansmahom' replacing '8' with 'h'.
data73058,DATA_21092,B,مس سايغون (1989) بشخصية المهندس - جائزة أوليفييه لأحسن ممثل ف مسرحية موسيقية، جائزة توني لأحسن ممثل ف مسرحية موسيقية,"Miss Saigon (1989) b shakhsiat lmohandiss - ja'izat Olivier l ahssan momattil f massrahiya mossiqiya, ja'izat Tony l ahssan momattil f massrahiya mossiqiya","Miss Saigon (1989) as The Engineer – Olivier Award for Best Actor in a Musical, Tony Award for Best Actor in a Musical",مسرحية الآنسة سايغون (1989) بدور المهندس – جائزة أوليفييه لأفضل ممثل في مسرحية موسيقية، جائزة توني لأفضل ممثل في مسرحية موسيقية,26,GENERATED,english;modern_standard_arabic,All fields are correct; minimal spacing fix in English.
data73059,DATA_13160,B,ف 10 دجنبر 1977، الطاقم الأول اللي سكن تما، يوري رومانينكو و جورجي غريتشكو، وصلو على سويوز 26 و بقاو ف ساليوت 6 لمدة 96 يوم.,"f 10 doujanbir 1977, t-taqm l-awwal li sken t-temma, Yuri Romanenko u Georgi Grechko, wslu 3la Soyuz 26 u bqaw f Salyut 6 l-moddat 96 yum.","On 10 December 1977 the first resident crew, Yuri Romanenko and Georgi Grechko, arrived on Soyuz 26 and remained aboard Salyut 6 for 96 days.",في 10 ديسمبر 1977، وصل الطاقم المقيم الأول، يوري رومانينكو وجورجي غريتشكو، على متن سويوز 26 وظلوا على متن ساليوت 6 لمدة 96 يومًا.,28,GENERATED,english,All fields are correct and faithful to the source.
data73060,WIKI_C_09666,C,التلج اللي فوق مونت رينييه قادر يدير شي سيول ديال التراب، بحال الفيضانات اللي كيخرجو من التلج وخا ماكايكون لا بركان لا والو. التلج ديال ساوث تاكوما دار شي تلاتين فيضان فالتمنينات و التسعينات اللوّلا، و عاودها تاني فغشت 2015.,"telj li faw mount rainier qader ydir chi suyul dyal trub, bhal el feydnat li kiykhroju mn telj wkha makaykun la borkan la walu. telj dyal south tahoma dar chi tlatin feydan f temnaynat w tsinat el lawla, w 3awdha tani f aghustus 2015.","The glaciers on Mount Rainier can generate mudflows, like the floods that come from the glaciers even though there is no volcano or anything. The South Tahoma Glacier caused about thirty floods in the 1980s and early 1990s, and again in August 2015.",يمكن للثلوج فوق جبل رينييه أن تسبب سيولاً طينية، مثل الفيضانات التي تخرج من الثلوج رغم عدم وجود بركان أو شيء من هذا القبيل. تسبب ثلج ساوث تاكوما في حوالي ثلاثين فيضانًا في الثمانينيات وأوائل التسعينيات، وكرر ذلك في أغسطس 2015.,40,GENERATED,darija_arabic;darija_arabizi;english;modern_standard_arabic,Minor spelling correction in darija_arabic and darija_arabizi; English and MSA adjusted for naturalness and faithfulness to Darija informal register.
data73061,DATA_7510,A,40 يوم لأول مرة في حياتها,40 youm lawla marra f 7yatha,the first 40 days in her life,الأربعون يومًا الأولى في حياتها,7,PARTIALLY VALIDATED,darija_arabic;darija_arabizi;modern_standard_arabic,Corrected Darija Arabic to a more natural phrase; fixed Arabizi to better reflect Darija; MSA corrected for grammatical accuracy and faithfulness.
data73062,WIKI_C_00812,C,دم القيصر، واحد الكتاب ديال الجريمة ديال ألبرت بيل جونيور، فيه پليني كيلعب دور المحقق والمؤرخ تاسيتوس هو اللي كيعاونو، في عهد دوميتيان.,"dm lqaySir, wa7d lktab dyal ljrima dyal albert bell jr., fih plini kil3ab dor lmo7a9i9 w lmo2arikh tacytus howa lli kay3awno, f 3ahd domitian.","Blood of Caesar, a crime novel by Albert Bell Jr., featuring Pliny as the detective and the historian Tacitus as his assistant, during Domitian's reign.",دم القيصر، رواية جريمة لألبرت بيل جونيور، تقدم بليني كمحقق والمؤرخ تاسيتوس كمساعده، خلال عهد دوميتيان.,24,GENERATED,darija_arabic;darija_arabizi;english;modern_standard_arabic,Corrected minor spacing and punctuation in Darija Arabic and English; 'جونيور' preferred over 'الابن' for name consistency.
data73063,DATA_17084,B,البيض شي مرات كيتعتابر رائد ديال البيئة. عالم الطيور البريطاني جيمس فيشر كيعطي نظرة متوازنة كثر، كتب ف 1941:,"lbid shi mrat kit3tabr ra2id dyal lbia. 3alam tiyor lbritani jims fisher ki3ti ndra mtwazna kter, kteb f 1941:","White is sometimes treated as a pioneer of ecology. The British ornithologist James Fisher gives a more balanced view, writing in 1941:",يُعامل الأبيض أحيانًا كرائد لعلم البيئة. يقدم عالم الطيور البريطاني جيمس فيشر وجهة نظر أكثر توازناً، كاتبًا في عام 1941:,25,GENERATED,english,
data73064,DATA_2414,A,أشمن بلاد مشيتي؟,achmn blad mchiti?,Which country did you go to?,إلى أي بلد ذهبت؟,6,PARTIALLY VALIDATED,darija_arabizi,Corrected Arabizi transcription to match Darija pronunciation.
data73065,DATA_20997,B,"و من بعد عطاو لبرادمان ثلاثة ديال التحيّات و الجمهور غنّا ""For he's a jolly good fellow"" قبل ما يتفرقو.","u men ba3d 3taw lbradman tlata dyal t-t7iyyat u l-joumhour ghanna ""For he's a jolly good fellow"" qbel ma ytfarqou.","Bradman was then given three cheers and the crowd sang ""For he's a jolly good fellow"" before dispersing.","ثم منحوا برادمان ثلاث تحيات، وغنى الجمهور ""فهو رجل مرح"" قبل أن يتفرقوا.",22,GENERATED,english;modern_standard_arabic,Corrected English for natural phrasing and verb tense. Adjusted MSA to better reflect the informal Darija meaning and plural verb agreement.
data73066,DATA_6713,A,ما عمرك مادرتي ليوغا؟,ma3mrk maderti lyoga?,Have you ever tried yoga?,هل جربت اليوغا من قبل؟,5,PARTIALLY VALIDATED,darija_arabic;darija_arabizi;english,Corrected spacing in darija_arabic and darija_arabizi; English and MSA are correct.
data73067,WIKI_C_08389,C,الخربة ديال قصر التويلري هرسوها عام 1882 فعهد الجمهورية الفرنسية الثالثة. البافيون د لا فلور و البافيون د مارسون هما اللي بقاو من داك الشي ديال قصر التويلري.,lkhirba dial qasr t-twilri harsuha 3am 1882 f 3ahd l-jumhuria l-fransia t-talta. l-bavillon de la flore w l-bavillon de marsan huma lli bqaw mn dak shi dial qasr t-twilri.,The ruins of the Tuileries Palace were pulled down in 1882 during the French Third Republic. The Pavillon de Flore and the Pavillon de Marsan are the only parts left from the Tuileries Palace.,تم هدم أطلال قصر التويلري عام 1882 خلال الجمهورية الفرنسية الثالثة. جناح الزهرة وجناح مارسون هما الجزآن الوحيدان من مجمع قصر التويلري اللذان ما زالا قائمين.,28,GENERATED,darija_arabizi;english,Corrected darija_arabizi for standard Arabizi conventions and consistent French term usage; English and MSA are faithful and natural.
data73068,WIKI_C_05937,C,"ميكائيل (2004)، ""الوضع ديال التصنيف ديال المجموعات المنتهية البسيطة"" (PDF)، إشعارات ديال الجمعية الأمريكية للرياضيات 51 (7): 736-740.","mikail (2004), ""lwd3 dial tasiif dial lmjmu3at lmntahya lbasita"" (PDF), is3arat dial ljama3iya l2amrikiya lirriyadiyat 51 (7): 736-740.","Mikail (2004), ""The Status of the Classification of the Finite Simple Groups"" (PDF), Notices of the American Mathematical Society 51 (7): 736–740.","ميكائيل (2004)، ""وضع تصنيف المجموعات المنتهية البسيطة"" (PDF)، إشعارات الجمعية الأمريكية للرياضيات 51 (7): 736-740.",18,GENERATED,english;modern_standard_arabic,Removed <unk> artifact from English. Corrected name spelling in MSA to match Darija.
data73069,DATA_14540,B,نال صليب الفارس في 2 مارس 1942 بصفته إس إس شتاندارتن فوهرر وقائد لواء الفرسان ديال الإس إس.,nal salib al-faris fi 2 mars 1942 b sifto iss iss shtandarten fuhrer o qa'id liwa al-fursan dyal al-iss iss.,Received the Knight's Cross on 2 March 1942 as SS Standartenführer and commander of the SS Cavalry Brigade.,نال صليب الفارس في 2 مارس 1942 بصفته إس إس شتاندارتن فوهرر وقائد لواء الفرسان التابع لقوات الأمن الخاصة (إس إس).,20,GENERATED,darija_arabic;english;modern_standard_arabic,Removed MT artifacts '@-@' from all fields. Corrected English for completeness and naturalness. Fixed repetition and redundancy in MSA.
data73070,WIKI_C_06348,C,ستراسبورغ سالا العام بتلاتة بوينت زيرو زيرو في ليرا و واحد بوينت زيرو خمسة في الويپ، تمانية ديال الرباح، تسعود ديال الخسارات، و 191 سترْايكْ آوْتْ في 183 إينينْݣ اللي لعب.,"strasburg sala l3am b tlata point zero zero f l ERA w wahed point zero khamsa f l WHIP, tamnya dyal rab7, tsoud dyal khasarat, w 191 strike out f 183 innings li la3ab.","Strasburg finished the year with a 3.00 ERA, 1.05 WHIP, 8 wins, 9 losses, and 191 strikeouts over 183 innings pitched.",اختتم ستراسبورغ العام بمعدل نقاط مكتسبة 3.00، ومعدل المشي والضرب 1.05، و8 انتصارات، و9 خسارات، و191 ضربة إقصاء على مدار 183 إينينغ لعب.,31,GENERATED,english;modern_standard_arabic,"Removed MT artifacts '@.@' from English. Corrected MSA to use proper baseball terminology for WHIP and strikeouts, and adjusted wording for innings."
data73071,DATA_11539,A,نتحداك ماتعانيش فهاد البلاد,nt7edak mat3anich fhad lblad,I dare you not to suffer in this country,أتحدّاك ألا تعاني في هذا البلد,7,PARTIALLY VALIDATED,english;modern_standard_arabic,English and MSA corrected to include the full meaning 'in this country' and to improve naturalness.
data73072,DATA_14787,B,نهار 21 يناير 2001، درو دخل للماتش ديال الرويال رامبل كضيف ديال ڤينس مكمان.,"nhar 21 yanayr 2001, Drew dkhel lmatch dyal Royal Rumble k dif dyal Vince McMahon.","On January 21, 2001, Drew entered the Royal Rumble match as Vince McMahon's guest.",في 21 يناير 2001، دخل درو كضيف فينس مكمان في مباراة رويال رامبل.,20,GENERATED,darija_arabizi;english;modern_standard_arabic,Corrected darija_arabic minor name and script issues; darija_arabizi corrected number and spelling; English and MSA are valid with minor style adjustment in English for naturalness.
data73073,DATA_12341,A,عمرك جربتي ترجع بهاد الطريقة لور,3emrek jerebti terja3 bhad tariqa lour,Have you ever tried to go back this way?,هل جربتَ أن ترجع بهذه الطريقة إلى الوراء؟,7,PARTIALLY VALIDATED,darija_arabizi;english;modern_standard_arabic,Corrected English to a natural question form and added 'ever' to match 'عمرك'. Adjusted MSA to be faithful and less formal.
data73074,DATA_8919,A,أنا غادي ن قابل واحد لبزناس,ana ghadi n 9aabel wa7ed lbeznass,I am going to meet a drug dealer,سوف أقابل تاجر مخدرات,7,PARTIALLY VALIDATED,english;modern_standard_arabic,Corrected English and MSA to reflect the meaning of 'ن قابل' as 'to meet' rather than 'to spy on'.
data73075,DATA_6626,A,الثمن كان عالي على السيان,tman kan 3ali 3la lsyan,The price was high for the buyer,كان الثمن غاليًا على الزبون,8,PARTIALLY VALIDATED,darija_arabic;darija_arabizi;english;modern_standard_arabic,Corrected spelling and word choice in Darija Arabic and Arabizi; adjusted English and MSA to be faithful and less formal; 'السيان' is unclear and replaced with 'الزبون' (the buyer).
data73076,WIKI_D_07619,D,ف 1991، الملازم كاترين ولات أول مرا مريكية لاتينية الأصل باش تحكم ف وحدة بحرية فاش شدات القيادة ديال USCGC Bainbridge Island. كانت حتى هيا أول مرا مريكية لاتينية الأصل تكون ضابطة استخبارات ف خفر السواحل.,"f 1991, lmlazma katherine welat awel mra mrickiya latiniya l'asl bach te7kem f wa7da ba7riya fash sheddet lqiyada dyal USCGC Bainbridge Island. kanet 7ta hiya awel mra mrickiya latiniya l'asl tkoun dabetit istikhbarat f khafir ssewahil.","In 1991, LTJG Katherine became the first Hispanic American female to command an afloat unit when she took command of USCGC Bainbridge Island. She was also the first Hispanic American female intelligence officer in the Coast Guard.",في عام 1991، أصبحت الملازمة كاترين أول امرأة أمريكية من أصل لاتيني تقود وحدة عائمة عندما تولت قيادة السفينة USCGC Bainbridge Island. كانت أيضًا أول ضابطة استخبارات أمريكية من أصل لاتيني في خفر السواحل.,37,GENERATED,darija_arabic;darija_arabizi;english;modern_standard_arabic,Removed <unk> tokens from all fields and MT artifact '@-@' from English.
data73077,WIKI_D_02844,D,حتى لأواخر ديال القرن 19، كانت مكڭيل مالكة حتى هي على أراضي ديال بارك فوق قمّة ويستماونت، اللي كانت مستعملة كجردة نباتية. فبدوية القرن العشرين، مكڭيل عطات هاد الأرض كهدية لمدينة ويستماونت بشرط تولي محمية ديال الطيور.,"7atta l2awakhir dyal lqarn 19, kanet makgil malika 7atta hiya 3la aradi dyal park fawq qimmet westmount, lli kanet mosta3mela k jerdah nabatiyah. Fbadiwiyat lqarn 20, makgil 3taat had l2ard kahdiyah limadint westmount bshart twelli mahmiyah dyal ttoyoure.","Until the late 19th century, McGill had also owned parkland atop the Westmount Summit, which was used as a botanical garden. In the early twentieth century, McGill donated the land to the City of Westmount on the condition that it become a bird sanctuary.",حتى أواخر القرن التاسع عشر، كانت مكغيل تمتلك أيضًا أراضي متنزه فوق قمة ويستماونت، والتي كانت تُستخدم كحديقة نباتية. في أوائل القرن العشرين، تبرعت مكغيل بالأرض لمدينة ويستماونت بشرط أن تصبح محمية للطيور.,37,GENERATED,english;modern_standard_arabic,All fields are correct and faithful to the source. Minor spelling correction in MSA: 'مكغيل' instead of 'جامعة مكغيل' to match Darija's reference.
data73078,DATA_1641,A,جاري حمزة كاياكل غير زلايف ديال السوبا، هادشي صحيح.,"jari Hamza kayakl ghir zlayf dyal soba, hadchi s7i7.","My neighbor Hamza only eats soup dumplings, that's true.",جارِي حمزة يأكل فقط الزلايف مع الحساء، هذا صحيح.,10,PARTIALLY VALIDATED,darija_arabic;english;modern_standard_arabic,Corrected English and MSA to better reflect the specific food 'زلايف' (soup dumplings) rather than generic 'bowls of soup' or 'أطباق الحساء'. Added missing comma in Darija Arabic.
data73079,DATA_23156,B,النظام الصوتي اللي كنوصفو هنا هو مجموعة الأصوات اللي كاينة فاللغة القياسية اللي كتّهضر، و ممثلة برموز مناسبة من الأبجدية الصوتية الدولية (IPA).,"n-nidam s-sowti lli kanwesfu hna huwa mejmu3at l-aswat lli kayna f-l-lugha l-qiyasiya lli kat-tehdar, w mmettla b-rumuz munasiba mn l-abjadiya s-sawtiya d-dawliya (IPA).","The phonological system described here is the inventory of sounds of the standard spoken language, represented using appropriate symbols from the International Phonetic Alphabet (IPA).",النظام الصوتي الموصوف هنا هو مخزون الأصوات للغة المنطوقة القياسية، ممثلة باستخدام رموز مناسبة من الأبجدية الصوتية الدولية (IPA).,29,GENERATED,english,All fields are correct; minor spacing fixed in English.
data73080,DATA_10445,A,مانضنش غادي نلخص هادشي,mandench ghadi nle5ess hadchi,I don't think I will summarize this,لا أعتقد أنني سأُلخّص هذا,7,PARTIALLY VALIDATED,english;modern_standard_arabic,English and MSA corrected to reflect the meaning 'I don't think I will summarize this' instead of 'pay'.
data73081,DATA_15141,B,طولبيرت، فرانك إكس. (1953). نيمان ماركوس، تكساس: قصة المتجر ديال دالاس اللي كيحمر الوجه. نيويورك: هنري هولت.,"Tolbert, Frank X. (1953). Neiman-Marcus, Texas: Qessat l-mtajr dyal Dallas lli kay-hemmar l-wjeh. New York: Henry Holt.","Tolbert, Frank X. (1953). Neiman Marcus, Texas: the story of the Dallas store that shames. New York: Henry Holt.",تولبرت، فرانك إكس. (1953). نيمان ماركوس، تكساس: قصة متجر دالاس الذي يخزي. نيويورك: هنري هولت.,27,GENERATED,english;modern_standard_arabic,Corrected English and MSA to reflect the meaning of 'كيحمر الوجه' as 'shames' or 'embarrasses' rather than 'proud'.
data73082,DATA_5476,A,هاد السرول ماجاش معايا,had sserwal majach m3aya,The pants don't suit me,هذا البنطال لا يناسبني,5,PARTIALLY VALIDATED,darija_arabizi;modern_standard_arabic,Corrected Arabizi '8ad' to 'had'. Adjusted MSA to a more natural and faithful equivalent.
