"annotation_id","annotator","classe","corrected_darija_arabic","corrected_darija_arabizi","corrected_english","corrected_msa","created_at","darija_arabic","darija_arabizi","data_id","decision","english","english_word_count","final_comment","id","lead_time","modern_standard_arabic","status","updated_at" 
115,"1","C","مع تود بريوستر. ""تنوعات لأربعة د اليدين على موضوع ديال توكفيل"". نيويورك تايمز، الصفحة E1. 27 يناير 2003.","m3a todd brewster. ""tanou3at l rba3a d l-ydin 3la mawdou3 dyal tocqueville. new york times, l-ssf7a E1. 27 yanayer 2003.""","with Todd Brewster . "" Variations for Four Hands On a Theme by Tocqueville . "" The New York Times , p . E1 . January 27 , 2003 .","مع تود بريوستر. ""تنوعات لأربعة أيادٍ على فكرة لتوقفيل"". نيويورك تايمز، ص. E1. 27 يناير 2003.","2026-03-08T11:56:47.393055Z","مع تود بريوستر. تبديلات على ربعة د اليدين على شي فكرة ديال توكفيل. نيويورك تايمز، الصفحة E1. 27 يناير 2003.","m3 todd brewster. ""tbdilat 3la rba3a d l-ydin 3la chi fkra dyal tocqueville. new york times, l-sf7a E1. 27 janvier 2003.""","data52649","VALIDATED","with Todd Brewster . "" Variations for Four Hands On a Theme by Tocqueville . "" The New York Times , p . E1 . January 27 , 2003 .",20,"English was more accurate than MSA","WIKI_C_10312",54.455,"مع تود بريوستر. ""تنوعات لأربعة أيادٍ على فكرة لتوقفيل"". نيويورك تايمز، ص. E1. 27 يناير 2003.","GENERATED","2026-03-08T11:56:47.393111Z"
116,"1","D","تنمية ديال المدن و ""تنقيل ديال السكان من آسيا لأوروبا وبالعكس من أوروبا لآسيا، باش نوصلو أكبر قارة للوحدة والصداقة عن طريق الزواج والعلاقات العائلية.""","tnmiya dyal lmdon w ""tnqil dyal skkan mn asya l oropa w bl3ks mn oropa l asya, bach nwasslo akbr qara llwa7da w ssdaqa 3n triq zzawaj w l3alaqat l3a2iliya.""","Development of cities and the "" transplant of populations from Asia to Europe and in the opposite direction from Europe to Asia , in order to bring the largest continent to common unity and to friendship by means of intermarriage and family ties . ""","تنمية المدن و""نقل السكان من آسيا إلى أوروبا والعكس من أوروبا إلى آسيا، من أجل تحقيق الوحدة والصداقة بين أكبر القارات عن طريق الزواج والروابط الأسرية.""","2026-03-17T16:23:24.820813Z","التنمية ديال المدن و ""الترونسفير ديال السكان من آسيا لأوروبا و بالعكس من أوروبا لآسيا، باش نوصلو أكبر قارة للوحدة و الصداقة عن طريق الزواج و العلاقات العائلية.""","tmnmiya dyal lmdn w ""trensfer dyal sskan mn asia l'oropa w bl3ks mn oropa l'asia, bach nwaslo akbr qara llwa7da w sdaqa 3n triq zzawaj w l3alaqat l3a2liya.""","data52650","VALIDATED","Development of cities and the "" transplant of populations from Asia to Europe and in the opposite direction from Europe to Asia , in order to bring the largest continent to common unity and to friendship by means of intermarriage and family ties . """,28,"Both English and MSA are accurate","WIKI_D_08743",1186.249,"تنمية المدن و""نقل السكان من آسيا إلى أوروبا والعكس من أوروبا إلى آسيا، من أجل تحقيق الوحدة والصداقة بين أكبر القارات عن طريق الزواج والروابط الأسرية.""","GENERATED","2026-03-17T16:23:24.820875Z"
117,"1","C","قبل ما يبدا البث المباشر ديال الحدث، ويليام ريڭل وپول بيرتشيل غلبو بول لندن وبراين كندريك فواحد الماتش د التاڭ تيم اللي داز فالعرض التمهيدي ديال صنداي نايت هيت.","qbel ma yebda lbett lmobachir dyal l7adat, william regal w paul burchill ghelbo paul london w brian kendrick f wa7d lmatch d tag team lli daz fl3ard ttmhidi dyal sunday night heat.","Before the live broadcast of the event began , William Regal and Paul Burchill defeated Paul London and Brian Kendrick in a tag team match that aired on the Sunday Night Heat pre @-@ show .","قبل أن يبدأ البث المباشر للحدث، هزم وليام ريجل وبول بيرتشيل بول لندن وبريان كندريك في مباراة فرق ثنائية عُرضت في عرض الأحد المسائي التدريبي.","2026-03-17T16:29:35.692372Z","قبل ما يبدا البث المباشر ديال الحدث، ويليام ريگل و پول بيرتشيل غلبو پول لندن و براين كندريك فواحد الماتش د التاݣ تيم اللي داز فالسهرة د الأحد ديال هيت.","qbel ma yebda el bth el m مباشر dyal el hadath, william regal w paul burchill ghalbo paul london w brian kendrick f wahed el match d tag team lli daz f sehret el had s de heat.","data52651","VALIDATED","Before the live broadcast of the event began , William Regal and Paul Burchill defeated Paul London and Brian Kendrick in a tag team match that aired on the Sunday Night Heat pre @-@ show .",30,"English was more accurate than MSA","WIKI_C_02774",367.466,"قبل أن يبدأ البث المباشر للحدث، هزم وليام ريجل وبول بيرتشيل بول لندن وبريان كندريك في مباراة فرق ثنائية عُرضت في عرض الأحد المسائي التدريبي.","GENERATED","2026-03-17T16:29:35.692405Z"
118,"1","D","الآلة د كونوس @-@ بي خدمات من 11 دجنبر 1989 حتى ل 20 فبراير 1990. ف هاد المدة، ""وقت التشغيل"" ديال التجربة كان 27 يوم. تسجلات شي 60 شعلة شمسية و 19 انفجار كوني ديال أشعة غاما @-@.","l'ala d konus @-@ bi khdmat mn 11 djanbir 1989 7tal 20 fbrayr 1990. f had lmodda, ""weqt ttchghil"" dyal ttjriba kan 27 youm. tsjjlat chi 60 ch3la chemsiya w 19 nfijar kawni dyal achi33at gamma @-@.","The KONUS @-@ B instrument operated from 11 December 1989 until 20 February 1990 . Over that period , the "" on "" time for the experiment was 27 days . Some 60 solar flares and 19 cosmic gamma @-@ ray bursts were detected .","عملت آلة كونوس @-@ بي من 11 ديسمبر 1989 حتى 20 فبراير 1990. خلال تلك الفترة، كان وقت التشغيل للتجربة 27 يومًا. تم رصد حوالي 60 انفجارًا شمسيًا و 19 انفجارًا نجميًا كونيًا من أشعة جاما @-@.","2026-03-17T16:37:16.871466Z","الآلة د كونوس @-@ بي خدّامة من 11 دجنبر 1989 حتى 20 فبراير 1990. في هاد المدة، ""وقت التشغيل"" ديال التجربة كان 27 يوم. تقاس شي 60 شعلة شمسية و 19 نفجرة كونية ديال أشعة غاما @-@.","lala de konus @-@ bi khadama mn 11 dajambr 1989 7ta 20 fibrir 1990. f had lmoda, ""wa9t teshghil"" dyal tajriba kan 27 yom. t9as chi 60 ch3la shamsiya w 19 nfjra kawniya dyal ach3t gama @-@.","data52652","VALIDATED","The KONUS @-@ B instrument operated from 11 December 1989 until 20 February 1990 . Over that period , the "" on "" time for the experiment was 27 days . Some 60 solar flares and 19 cosmic gamma @-@ ray bursts were detected .",37,"English was more accurate than MSA","WIKI_D_04889",456.191,"عملت آلة كونوس @-@ بي من 11 ديسمبر 1989 حتى 20 فبراير 1990. خلال تلك الفترة، كان وقت التشغيل للتجربة 27 يومًا. تم رصد حوالي 60 انفجارًا شمسيًا و 19 انفجارًا نجميًا كونيًا من أشعة جاما @-@.","GENERATED","2026-03-17T16:37:16.871521Z"
119,"1","A","ونتوما تفرجو فيها","wntoma tfrjo fiha","and you are watching her","وأنت تراقبها","2026-03-17T16:43:06.918435Z","ونتوما تفرجو فيها","wntoma tfrjo fiha","data52653","VALIDATED","and you are watching her",5,"Both english and MSA are accurate","DATA_7449",26.951,"وأنت تراقبها","PARTIALLY VALIDATED","2026-03-17T16:43:06.918567Z"
120,"1","D","التركيبة ديال الأوبانيشاد متميزة حيت كتدمج طروفا مهمين من آيات ديال الأوبانيشادات الرئيسية اللولة، وهكا كتشير ليهم وفنفس الوقت كتبني الرسالة ديالها. الطروفا ديال الأوبانيشادات الكبار القدام اللي كتدمجهم فيها، كيشملو أوبانيشاد مونداكا وأوبانيشاد سفيتاسفاتارا.","ttarkiba dyal l'upanishad motamayyiza 7it katdmej trofa mohemmin mn ayat dyal l'upanishadat rra2isiya llowla, w hakka katchir lihom w f nafs lweqt katbni rrisala dyalha. ttrofa dyal l'upanishadat lekbar leqdam lli katdmejhom fiha, kichmlo upanishad mundaka w upanishad shvetashvatara.","The Upanishad 's structure is notable as it embeds key parts of verses from early Principal Upanishads , thus referencing them and yet building its own message . The fragments of earlier major Upanishads it thus integrates within it , include Mundaka Upanishad and Shvetashvatara Upanishad .","إن بنية الأوبانيشاد ملحوظة لأنها تدمج أجزاء رئيسية من آيات من الأوبانيشاد الرئيسية المبكرة، مما يشير إليها وفي الوقت نفسه تبني رسالتها الخاصة. تشمل الأجزاء من الأوبانيشاد الكبرى السابقة التي تدمجها بداخلها، أوبانيشاد مونداكا وأوبانيشاد سفيتاسفاتارا.","2026-03-17T16:44:40.339743Z","التركيبة ديال Upanishad واعرة حيت كتجبد طروفة مهمة من آيات من Upanishads اللوالا، بحال كتشير ليهم وفنفس الوقت كتبني الرسالة ديالها. الطروفة ديال Upanishads الكبار اللي كتزيدهم فيها، بحال Mundaka Upanishad و Shvetashvatara Upanishad.","ttarkiba dyal Upanishad wa3ra hit katjbed trofa mohema men ayat men Upanishads llawla, b7al katshir lihom w fnafs lwaqt katbni rrisala dyalha. Trofa men Upanishads likbar lli katzidhom fiha, b7al Mundaka Upanishad w Shvetashvatara Upanishad.","data52654","VALIDATED","The Upanishad 's structure is notable as it embeds key parts of verses from early Principal Upanishads , thus referencing them and yet building its own message . The fragments of earlier major Upanishads it thus integrates within it , include Mundaka Upanishad and Shvetashvatara Upanishad .",34,"English was more accurate than MSA","WIKI_D_12037",89.948,"إن بنية الأوبانيشاد ملحوظة لأنها تدمج أجزاء رئيسية من آيات من الأوبانيشاد الرئيسية المبكرة، مما يشير إليها وفي الوقت نفسه تبني رسالتها الخاصة. تشمل الأجزاء من الأوبانيشاد الكبرى السابقة التي تدمجها بداخلها، أوبانيشاد مونداكا وأوبانيشاد سفيتاسفاتارا.","GENERATED","2026-03-17T16:44:40.339801Z"
121,"1","A","آه, ولكن زوين مرة مرة تگلس فشي بلاصة ترتاح.","ah, walakin zwin mara mara tglss fchi blassa trta7.","Yeah, but it's nice every once in a while to land somewhere and relax.","نعم، ولكن من الجميل بين الحين والآخر الوصول إلى مكان ما والاسترخاء.","2026-03-17T16:45:20.912139Z","آه, ولكن زوين مرة مرة تگلس فشي بلاصة ترتاح.","ah, walakin zwin mara mara tglss fchi blassa trta7.","data52655","VALIDATED","Yeah, but it's nice every once in a while to land somewhere and relax.",14,"Both english and MSA are accurate","DATA_1741",36.946,"نعم، ولكن من الجميل بين الحين والآخر الوصول إلى مكان ما والاسترخاء.","PARTIALLY VALIDATED","2026-03-17T16:45:20.912258Z"
122,"1","D","ماير، ڤيكتور إتش. (1994)، التجوال ف الطريق: حكايات طاوية قديمة وأمثال ديال تشوانغ تزو، نيويورك: بانتام بوكس؛ تعاود نشرها (1997)، هونولولو: مطبعة جامعة هاواي.","mayr, viktor h. (1994), ttjwal f ttriq: 7kayat tawiya qdima w amtal dyal chwang tzo, nyuyork: bantam boks; t3awd nchrha (1997), honolulu: mtb3at jami3at haway.","Mair , Victor H. ( 1994 ) , Wandering on the Way : Early Taoist Tales and Parables of Chuang Tzu , New York : Bantam Books ; republished ( 1997 ) , Honolulu : University of Hawaii Press .","ماير، ڤيكتور إتش. (1994)، التجوال في الطريق: حكايات طاوية مبكرة وأمثال لتشوانغ تزو، نيويورك: بانتام بوكس؛ أعيد نشرها (1997)، هونولولو: مطبعة جامعة هاواي.","2026-03-17T16:47:00.781495Z","ماير، ڤيكتور إش. (1994)، التجوال فالطريق: حكايات طاوية قديمة وأمثال ديال تشوانغ تزو، نيويورك: بانتام بوكس؛ تعاود نشرها (1997)، هونولولو: جامعة هاواي بريس.","mayr, viktor h. (1994), ttjawwal fa ttariq: hkayat tawiya mdbkra w amtal dyal chuang tzu, nyuwryuk: bantam buks; a3ud nchurha (1997), hunululu: matb3t jami3t hawai.","data52656","VALIDATED","Mair , Victor H. ( 1994 ) , Wandering on the Way : Early Taoist Tales and Parables of Chuang Tzu , New York : Bantam Books ; republished ( 1997 ) , Honolulu : University of Hawaii Press .",23,"English was more accurate than MSA","WIKI_D_01537",95.118,"ماير، ڤيكتور إتش. (1994)، التجوال في الطريق: حكايات طاوية مبكرة وأمثال لتشوانغ تزو، نيويورك: بانتام بوكس؛ أعيد نشرها (1997)، هونولولو: مطبعة جامعة هاواي.","GENERATED","2026-03-17T16:47:00.781561Z"
123,"1","A","عمرك جربتي تغرس هاد الزريعة؟","3emrek jrebti tghres had zzri3a?","Have you tried to plant this seed","هل حاولت زراعة هذه البذرة؟","2026-03-17T16:48:55.079197Z","عمرك جربتي تخرص هاد نوع ديال لورد فجردة ديالك","3emrek jerebti t5ress had new3 dial lwerd fjarda dialek","data52657","VALIDATED","Have you tried to plant this seed",7,"English was more accurate than MSA","DATA_12446",108.971,"هل حاولت زراعة هذه البذرة؟","PARTIALLY VALIDATED","2026-03-17T16:48:55.079279Z"
124,"1","A","راه يالله دار تأمين ديال تنوبيلتو","rah yallah dar ta2min dial tonobiltou","he has assurance for his car","لديه تأمين على سيارته","2026-03-17T16:49:53.692075Z","راه يالله دار تأمين ديال تنوبيلتو","rah yallah dar ta2min dial tonobiltou","data52658","VALIDATED","he has assurance for his car",6,"Both english and MSA was more accurate","DATA_8655",53.341,"لديه تأمين على سيارته","PARTIALLY VALIDATED","2026-03-17T16:49:53.692143Z"
125,"1","C","= b مضروب ف b كيتسمى المربع ديال b حيت المساحة ديال مربع اللي الطول د الضلع ديالو b هي b². وكنقراوها ""b مربع"" ولا ""b أس جوج"".","= b mdrob f b kitsmma lmorabba3 dyal b 7it lmsa7a dyal morabba3 lli ttowl d ddel3 dyalo b hiya b². w kanqrawha ""b morabba3"" wlla ""b os juj"".","= b ⋅ b is called the square of b because the area of a square with side @-@ length b is b2 . It is pronounced "" b squared "" .","يُسمى b مضروبًا في b مربع b لأن مساحة المربع الذي طول ضلعه b هي b². ويُنطق ""b مربع"".","2026-03-17T16:51:46.065016Z","= b مضروبة في b كتسمى المربع ديال b حيت المساحة ديال مربع اللي الطول ديال الضلع ديالو b هي b2. و كنقولو ليها ""b اوس اثنان"".","b مضروب ف b كيتسمى مربع ديال b حيت المساحة ديال مربع لي طول الضلع ديالو b هي b2. و كنقولو ليها ""b اس اثنان"".","data52659","VALIDATED","= b ⋅ b is called the square of b because the area of a square with side @-@ length b is b2 . It is pronounced "" b squared "" .",27,"English was more accurate than MSA","WIKI_C_00735",108.256,"يُسمى b مضروبًا في b مربع b لأن مساحة المربع الذي طول ضلعه b هي b². ويُنطق ""b مربع"".","GENERATED","2026-03-17T16:51:46.065058Z"
126,"1","A","عمرك جربتي المراجعة ديال قبل المتحان","3emrek jerebti lmoraja3a dial 9bel lmti7an","Have you tried  revising before exam","هل جربت المراجعة قبل الامتحان؟","2026-03-17T16:52:34.664257Z","عمرك جربتي المراجعة ديال صباح المتحان","3emrek jerebti lmoraja3a dial sba7 lmti7an","data52660","VALIDATED","Have you tried  revising before exam",6,"Both english and MSA are accurate","DATA_12246",44.685,"هل جربت المراجعة قبل الامتحان؟","PARTIALLY VALIDATED","2026-03-17T16:52:34.664348Z"
127,"1","D","بيك عندو واحد الستيل فشكل ف السامپلينغ، بزاف د المرات كيستعمل مصادر بحال الأفلام اللي ما معروفاش باش يقطع ويلصق مقاطع ديال ناس كيهضرو ف الخلفية د الموسيقى ديالو، ولا شي أصوات أخرى لقاها باش يدير كولاج صوتي ف الخلفية د الموسيقى ديالو.","beck 3endo wa7ed sstil fchkel f ssampling, bzzaf d lmerrat kist3mel masadir b7al laflam lli ma m3rowfach bach yqte3 w ylsseq maqati3 dyal nass kayhedro f lkhalfiya d lmosiqa dyalo, wlla chi aswat khera lqaha bach ydir collage sawti f lkhalfiya d lmosiqa dyalo.","Beck has an irreverent style of sampling , often using such sources as obscure films to splice together cuts of people talking in the background of his music , or various other found sounds to create sound collages in the background of his music .","يمتلك بيك أسلوبًا غير وقور في أخذ العينات، وغالبًا ما يستخدم مصادر مثل الأفلام غير المعروفة لتقطيع أجزاء من الأشخاص الذين يتحدثون في خلفية موسيقاه، أو أصوات أخرى مختلفة تم العثور عليها لإنشاء كولاجات صوتية في خلفية موسيقاه.","2026-03-17T16:54:16.299200Z","لبك عندو واحد الستيل ديال السمع خرافي، بزاف د المرات كيستعمل مصادر بحال الأفلام اللي ما معروفاش باش يقطع و يلصق الهضرة ديال الناس اللي كيهضرو ف الخلفية د الموسيقى ديالو، أو شي أصوات أخرى لقاها باش يدير مونتاج صوتي ف الخلفية د الموسيقى ديالو.","lbak 3endo wa7ed style dyal sem3 khrayfi, bezzzaf d lmarrat kist3mel mswader b7al lfilm li ma ma3roufinch bach y9ta3 w yl9a lhdra dyal nass li kayhdro f lkhalfia dyal musiqah, aw chi aswat o5ra l9aha bach ydir montage sawti f lkhalfia dyal musiqah.","data52661","VALIDATED","Beck has an irreverent style of sampling , often using such sources as obscure films to splice together cuts of people talking in the background of his music , or various other found sounds to create sound collages in the background of his music .",45,"English was more accurate than MSA","WIKI_D_11293",97.824,"يمتلك بيك أسلوبًا غير وقور في أخذ العينات، وغالبًا ما يستخدم مصادر مثل الأفلام غير المعروفة لتقطيع أجزاء من الأشخاص الذين يتحدثون في خلفية موسيقاه، أو أصوات أخرى مختلفة تم العثور عليها لإنشاء كولاجات صوتية في خلفية موسيقاه.","GENERATED","2026-03-17T16:54:16.299263Z"
128,"1","D","الأبواغ بيضاوية ولا إهليلجية، ملسة، شفافة، القياس ديالها 4.5-5.5 على 2-2.5 ميكرومتر. والباسيديا، اللي هي الخلايا اللي كتحمل الأبواغ، لاصقة ف 6-8 ديال الأبواغ الجالسة.","labwagh bidawiya wlla ihlilijiya, mlsa, cheffafa, lqiyas dyalha 4.5-5.5 3la 2-2.5 mikromitr. w lbassidiya, lli hiya lkhalaya lli kat7mel labwagh, lasqa f 6-8 dyal labwagh jjalssa.","The spores are elliptical or ovoid , smooth , translucent ( hyaline ) , with dimensions of 4 @.@ 5 – 5 @.@ 5 by 2 – 2 @.@ 5 µm . The basidia , the spore @-@ bearing cells , are attached to 6 – 8 sessile spores .","الأبواغ بيضاوية أو مستطيلة، ملساء، شفافة (عديمة اللون)، بأبعاد 4.5-5.5 × 2-2.5 ميكرومتر. أما الباسيديا، وهي الخلايا الحاملة للأبواغ، فملتصقة بـ 6-8 أبواغ جالسة.","2026-03-17T16:56:00.279687Z","الخلايا الجرثومية بيضاوية ولا إهليلجية، ملسة، شفافة، القياس ديالها 4.5-5.5 على 2-2.5 ميكرومتر. و الباسيديا، الخلايا اللي كتحمل الجراثيم، لاصقة في 6-8 ديال الجراثيم اللي جالسة.","l5alaya jrtoumiya baydawiya wla ihliljiya, mlsa, shafa, lqiyas dyalha 4.5-5.5 3la 2-2.5 micrometer. w lbassidiya, l5alaya lli k7ml ljaratim, la9sa f 6-8 dyal ljaratim lli jalssa.","data52662","VALIDATED","The spores are elliptical or ovoid , smooth , translucent ( hyaline ) , with dimensions of 4 @.@ 5 – 5 @.@ 5 by 2 – 2 @.@ 5 µm . The basidia , the spore @-@ bearing cells , are attached to 6 – 8 sessile spores .",26,"English was more accurate than MSA","WIKI_D_04549",99.603,"الأبواغ بيضاوية أو مستطيلة، ملساء، شفافة (عديمة اللون)، بأبعاد 4.5-5.5 × 2-2.5 ميكرومتر. أما الباسيديا، وهي الخلايا الحاملة للأبواغ، فملتصقة بـ 6-8 أبواغ جالسة.","GENERATED","2026-03-17T16:56:00.279724Z"
129,"1","C","قبل إعصار كاترينا، معدل القتل ف نيو أورلينز كان عشرة د المرات كتر من المعدل ف ميريكان. من بعد ما تقاد الوضع ف نيو أورلينز، النشاط الإجرامي نقص بزاف.","qbel i3ssar katrina, mo3addal lqtel f new orleans kan 3echra d lmerrat kter mn lmo3addal f mirikan. mn b3d ma tqad lwed3 f new orleans, nnachat l2ijrami nqes bzzaf.","Before Hurricane Katrina , the murder rate in New Orleans was ten times higher than the U.S. average . After the situation in New Orleans was brought under control , criminal activity in New Orleans dropped significantly .","قبل إعصار كاترينا، كان معدل القتل في نيو أورلينز أعلى بعشرة أضعاف من المتوسط الأمريكي. وبعد استتباب الوضع في نيو أورلينز، انخفض النشاط الإجرامي بشكل كبير.","2026-03-17T16:59:47.218731Z","قبل لإعصار كاترينا، نسبة القتل ف نيو أورلينز كانت عشرة مرات كثر من المعدل ف لميريكان. من بعد ما تقاد الوضع ف نيو أورلينز، النشاط الإجرامي طاح بزاف.","qbl l2e9sar katrina, nsbet lqtel f new orleans kanet 3shra dyal lmerrat kthr men lme3ddel f lmerikan. men b3d ma t9ad lwd3 f new orleans, lنشاط l2ijrami t7 lbezaz.","data52663","VALIDATED","Before Hurricane Katrina , the murder rate in New Orleans was ten times higher than the U.S. average . After the situation in New Orleans was brought under control , criminal activity in New Orleans dropped significantly .",28,"English was more accurate than MSA","WIKI_C_11107",219.196,"قبل إعصار كاترينا، كان معدل القتل في نيو أورلينز أعلى بعشرة أضعاف من المتوسط الأمريكي. وبعد استتباب الوضع في نيو أورلينز، انخفض النشاط الإجرامي بشكل كبير.","GENERATED","2026-03-17T16:59:47.218779Z"
130,"1","D","جزيرة فلات هولم (بالويلزية: Ynys Echni) هي واحد الجزيرة ديال الحجر الكلسي اللي جات ف قناة بريستول على بعد تقريبا 6 كيلومتر (4 ميل) من نقطة لاڤيرنوك ف وادي ڭلامورڭان (واخا هي تابعة لكارديف). وكتضم أقصى نقطة ف الجنوب ديال ويلز.","jzirat flat holm (b lwilziya: Ynys Echni) hiya wa7ed jzira dyal l7jer lkelssi lli jat f qanat bristol 3la bo3d tqriban 6 kilometr (4 mil) mn noqtat lavernock f wadi glamorgan (wakha hiya tab3a l cardiff). w katdem aqsa noqta f ljanoub dyal wales.","Flat Holm ( Welsh : Ynys Echni ) is a limestone island lying in the Bristol Channel approximately 6 km ( 4 mi ) from Lavernock Point in the Vale of Glamorgan ( though it forms part of Cardiff ) . It includes the most southerly point of Wales .","جزيرة فلات هولم (بالويلزية: Ynys Echni) هي جزيرة جيرية تقع في قناة بريستول على بعد حوالي 6 كيلومترات (4 أميال) من نقطة لاڤيرنوك في وادي جلامورجان (على الرغم من أنها تشكل جزءًا من كارديف). وهي تضم أقصى نقطة في جنوب ويلز.","2026-03-17T17:01:15.341808Z","جْزيرة فلات هولم (الويلزية: Ynys Echni) واحد الجْزيرة ديال الحجر الكلسي اللي كاينة فالقناة ديال بريستول تقريبا 6 كيلومتر (4 ميل) من لاڤيرنوك بوينت ف وادي جلامورڭان ( واخا هي تابعة ل كارديف ). و فيها أقصى نقطة فالجنوب ديال ويلز.","jzirat flat holm (lwelezya: Ynys Echni) wa7ed lzirat dyal l7jer lkelssi lli kayna f lqanat dyal bristol taqriban 6 kilometr (4 mil) men lavernock point f wadi glamorgan (wakha hiya tab3a l cardiff). W fiha aqsa noqta f ljanub dyal wales.","data52664","VALIDATED","Flat Holm ( Welsh : Ynys Echni ) is a limestone island lying in the Bristol Channel approximately 6 km ( 4 mi ) from Lavernock Point in the Vale of Glamorgan ( though it forms part of Cardiff ) . It includes the most southerly point of Wales .",41,"English was more accurate","WIKI_D_10606",82.565,"جزيرة فلات هولم (بالويلزية: Ynys Echni) هي جزيرة جيرية تقع في قناة بريستول على بعد حوالي 6 كيلومترات (4 أميال) من نقطة لاڤيرنوك في وادي جلامورجان (على الرغم من أنها تشكل جزءًا من كارديف). وهي تضم أقصى نقطة في جنوب ويلز.","GENERATED","2026-03-17T17:01:15.341856Z"
131,"1","B","ف الهند، الكيك ديال البرقوق كيتقدم ف جوايه وقيتة د عيد الميلاد، ويقدرو يتزادو فيه مكونات إضافية بحال الروم ولا البراندي.","f lhend, lkik dyal lberqoq kitqddem f jwayh wqita d 3id lmilad, w yqdro ytzado fih mokawwinat idafiya b7al rrom wlla lbrandi.","In India plum cake has been served around the time of the Christmas holiday season , and may have additional ingredients such as rum or brandy added .","في الهند، يُقدم كعك البرقوق حول وقت موسم عطلة عيد الميلاد، وقد تضاف إليه مكونات إضافية مثل الروم أو البراندي.","2026-03-17T17:02:45.621363Z","فالهند، كيك ديال البرقوق كيتقدم تقريبا ف وقت ديال أعياد الميلاد، و يقدر يكونو فيه مكونات زايدة بحال الروم و لا الكونياك.","fal hind, kik dyal lberqoq kay tqddem tqriban f waqt dyal a3yad lmilad, o yqder ykono fih mokawinat zayda bhal rrom w la lkonyak.","data52665","VALIDATED","In India plum cake has been served around the time of the Christmas holiday season , and may have additional ingredients such as rum or brandy added .",28,"English was more accurate","DATA_12711",85.453,"في الهند، يُقدم كعك البرقوق حول وقت موسم عطلة عيد الميلاد، وقد تضاف إليه مكونات إضافية مثل الروم أو البراندي.","GENERATED","2026-03-17T17:02:45.621443Z"
132,"1","B","جرية ديال 6 ياردات ل أندري كيندريك (محاولة ديال جوج نقاط ب الباس ما صدقاتش) 2:13 فيرجينيا تيك 29 فلوريدا ستيت 28","jrya dyal 6 yardat l andri kendrik (mo7awala dyal juj nqat b lpass ma sdeqatch) 2:13 virginia tech 29 florida state 28","VT @-@ Andre Kendrick 6 yard run ( 2 @-@ pt pass failed ) 2 : 13 VT 29 FSU 28","جريان لمسافة 6 ياردات لـ أندريه كندريك (لم تنجح محاولة النقطتين) 2:13 فيرجينيا تيك 29 فلوريدا ستيت 28","2026-03-17T17:04:32.361764Z","جري ديال أندري كيندريك ب 6 ياردات (محاولة ديال 2 نقاط بالباس ما صدقاتش) 2:13 في تي 29 إف إس يو 28","جري ديال أندري كيندريك ب 6 ياردات (محاولة ديال 2 نقاط بالباس ما صدقاتش) 2:13 في تي 29 إف إس يو 28

jri dyal andri kendrik b 6 yardat (mohawala dyal 2 nqat b lpass ma sdqatch) 2:13 fi ti 29 if ess you 28","data52666","VALIDATED","VT @-@ Andre Kendrick 6 yard run ( 2 @-@ pt pass failed ) 2 : 13 VT 29 FSU 28",21,"MSA was more accurate","DATA_19950",102.264,"جريان لمسافة 6 ياردات لـ أندريه كندريك (لم تنجح محاولة النقطتين) 2:13 فيرجينيا تيك 29 فلوريدا ستيت 28","GENERATED","2026-03-17T17:04:32.361838Z"
