data_id,darija_arabic,darija_arabizi,modern_standard_arabic,status,id,classe,english,english_word_count
data55044,١٩٥٩: تفتحات لمونوريل، طوموبيلات Turnpike و ويلد ماوس. تسدات نوح أرك. سالات البني ديال مارينا سيدار بوينت.,"1959: tft7at lmonorail, tomobilaat Turnpike o wild mouse. Tsddat Noah's Ark. Salat lbni dial Marina Cedar Point.",١٩٥٩: يفتح قطار المونوريل، وسيارات التورنبايك، والفأر البري؛ ويغلق سفينة نوح؛ ويكتمل إنشاء مرسى سيدار بوينت.,VALIDATED,DATA_23825,B,"1959 : Monorail , Turnpike Cars , and Wild Mouse opens ; Noah 's Ark closes ; Construction is completed on the Cedar Point Marina",25
data55045,ماكي، ريتشارد سومرست (١٩٩٧). التجارة من وراء الجبال: تجارة الفرو البريطانية في المحيط الهادئ ١٧٩٣-١٨٤٣. فانكوفر: جامعة كولومبيا البريطانية (UBC) للطباعة. ISBN 0 @-@ <unk> @-@ <unk> @-@ 3.,"makki, richard somerset (1997). ttijara mn wara j-jibala: ttijara dyal l-frou li-brittaniya f l-muhit l-hadi 1793-1843. vanikur: jami3at columbia l-brittaniya (ubc) dyal ttiba3a. isbn 0 @-@ <unk> @-@ <unk> @-@ 3.",ماكي، ريتشارد سومرست (١٩٩٧). التجارة من وراء الجبال: تجارة الفرو البريطانية على ساحل المحيط الهادئ ١٧٩٣-١٨٤٣. فانكوفر: مطبعة جامعة كولومبيا البريطانية (UBC). ISBN 0 @-@ <unk> @-@ <unk> @-@ 3.,VALIDATED,WIKI_D_00849,D,"Mackie , Richard Somerset ( 1997 ) . Trading Beyond the Mountains : The British Fur Trade on the Pacific 1793 – 1843 . Vancouver : University of British Columbia ( UBC ) Press . ISBN 0 @-@ <unk> @-@ <unk> @-@ 3 .",29
data55046,السيد المسؤول على الشاطئ رفع راية زرقا فوق راسو باش يعلم الربان ديال السفينة بلي راه واجد باش يبدا الإطلاق.,s-sid l-mas2ul 3la sh-shati rfa raia zarqa fuq ras-u bash y3allem r-robban dial s-sfina belli rah wajed bash yebda l-itlaq.,رفع كبير ضباط البيانات علماً أزرق فوق رأسه لإعلام قبطان السفينة باستعداده للإطلاق.,VALIDATED,DATA_20739,B,The CDO raised a blue flag above his head to inform the ship 's master of his readiness to launch .,21
data55047,كون غير قدرت نسمعك هاد الأغنية.,koun ghir 9dert nsm3k had l oughnia.,لَيْتَنِي أُغَنِّي هَذِهِ الأُغْنِيَةَ,VALIDATED,DATA_9592,A,if only i sing this song,6
data55048,تماشيا مع اهتمام پروس بالتجارة والتكنولوجيا، واحد الباخرة ديال شركة البحار البولندية تسمات بسميتو.,"Tmashiyaan m'a ihtimam Bros b'tijara w'teknolojiya, wahed lbakhera dyal shirkat lbhar lbouloniya tesmat b'smitou.",تماشيًا مع اهتمام بروس بالتجارة والتكنولوجيا، تم تسمية سفينة شحن تابعة لشركة خطوط المحيط البولندية باسمه.,VALIDATED,DATA_24836,B,"Consonant with Prus ' interest in commerce and technology , a Polish Ocean Lines freighter has been named for him .",21
data55049,"فـ ١٩٩٥ ألفين والسنجاب و صحاباتو سجلوا كوفر ديال ""Be Our Guest"" لألبوم ديالهم لي فيه أغاني ديال ديزني سميتو When You Wish Upon a Chipmunk.","f 1995 alvin wchpmnks w chipettes recordo cover dyal ""Be Our Guest"" l album concept dyalhom dyal disney smito ""When You Wish Upon a Chipmunk"".","في عام ١٩٩٥، سجل أصدقاء السنجاب ورفيقاته أغنية ""كن ضيفنا"" لألبومهم المفهومي المستوحى من ديزني بعنوان ""عندما تتمنى على سنجاب"".",VALIDATED,WIKI_C_09313,C,"In 1995 , Alvin and the Chipmunks and The Chipettes recorded a cover of "" Be Our Guest "" for their Disney @-@ themed concept album When You Wish Upon a Chipmunk .",26
data55050,القْصور ديال الحجر كانت عرضة للعافية حيت كانو فيها بزاف ديال المواد اللي كتشعل. ف ١١٣٩، هنري دي تريسي جبر القصر ديال تورينݣتون باش يستسلم بواحد الطريقة ساهلة: رما الشعلات مشعولين من التقيبات ديال البرج الكبير.,"lqsur dyal l7jer kanu 3urda l3afya hit kanu fiha bzaf dyal lmawadd lli katch3el. f 1139, henry de tracy jber lqser dyal torrington bach ytslem bwa7d tariqa sahla: rma sh3alat msh3ulin mn tqbibat dyal lbruj lkbir.",كانت القلاع الحجرية عرضة للنيران، لاحتوائها على العديد من المواد القابلة للاشتعال. في عام ١١٣٩، أجبر هنري دي تريسي قلعة تورينغتون على الاستسلام بمجرد رمي المشاعل المشتعلة عبر فتحات السهم في البرج الرئيسي.,VALIDATED,WIKI_D_05967,D,"Stone castles were susceptible to fire , since they contained many combustible materials . In 1139 , Henry de Tracy forced the surrender of Torrington Castle by the simple expedient of tossing lighted torches through the keep 's loopholes .",36
data55051,كوبريك صور بزاف ديال المشاهد اللي تحيدو من الفيلم النهائي. هادو كيطيحو فجوج ديال الأنواع: المشاهد اللي تقطعات قبل ما يدار عرض عمومي للفيلم، والمشاهد اللي تقطعات شي يامات قليلة مورا العرض العالمي الأول ف ٢ أبريل ١٩٦٨.,"kubrik swer bzaf dyal lmshayed lli t7aydo mn lfilm lne2i. hado kayt77o f joj dyal l2nwa3: lmshayed lli tqtat3at qbl ma ydar 3rd 3momi lfilm, w lmshayed lli tqtat3at shi yyamat qlila mora l3rd l3alami l2wwel f 2 april 1968.",صور كوبريك العديد من المشاهد التي حذفت من الفيلم النهائي. تندرج هذه المشاهد ضمن فئتين: المشاهد التي تم اقتطاعها قبل أي عروض عامة للفيلم، والمشاهد التي تم اقتطاعها بعد أيام قليلة من العرض العالمي الأول في ٢ أبريل ١٩٦٨.,VALIDATED,WIKI_D_03686,D,"Kubrick filmed several scenes that were deleted from the final film . These fall into two categories : scenes cut before any public screenings of the film , and scenes cut a few days after the world premiere on April 2 , 1968 .",38
data55052,باش نحدّدو نسبة البورون ف الماكلة أولا ف شي مواد، كنستعملو طريقة الكوركومين اللونية. البورون كيتحول لحمض البوريك أولا البورات و فالتفاعل مع الكوركومين ف واحد المحلول حامضي، كيتكون واحد المركب كيلاطي أحمر اللون ديال البورون.,"bash nhadddu nsebt lboron f lmkla awla f chi mwadi, kanstamelu tari9t lkurkumun lloniyya. lboron k ythawwel l 7amud lburik awla lburaat, w f tafa3ol m3a lkurkumun f wa7d lma7lul 7amudi, kaytkon wa7d lmurakkab kilati 7mar lllon dyal lboron.",لتحديد محتوى البورون في الأطعمة أو المواد، تُستخدم طريقة الكركمين اللونية. يتم تحويل البورون إلى حمض البوريك أو البورات، وعند التفاعل مع الكركمين في محلول حمضي، يتكون مركب خلات البورون أحمر اللون.,VALIDATED,WIKI_D_00268,D,"For determination of boron content in food or materials the colorimetric curcumin method is used . Boron is converted to boric acid or borates and on reaction with curcumin in acidic solution , a red colored boron @-@ chelate complex , <unk> , is formed .",36
data55053,كون غير قدرت نخرج لكلب ديالي,koun ghir 9dert nkherej lklb diali,لو أنني أخذت كلبي للخارج,VALIDATED,DATA_9480,A,if only i took my dog outside,7
data55054,مانضنش غادي خرق دوك سيتات,mandench ghadi 5are9 dok sitat,لا أعتقد أنني سأقوم باختراق المواقع,VALIDATED,DATA_10567,A,I dont think i  will hack websites,7
data55055,أليكسيس دوبري، اللي تكلات ملكة جمال نيو مكسيك ف 2013 وعاودت ف 2015، هي من ألاموغوردو. ماي شانلي، اللي ولات ملكة جمال أمريكا ف 1984، مثلات المدينة بصفة ملكة جمال نيو مكسيك يو إس أي.,"alexis duprey, lli tklet malikat jamal new mexico f 2013 w 3awdet f 2015, hiya mn alamogordo. mai shanley, lli wlat malikat jamal america f 1984, mthlat mdina b siffat malikat jamal new mexico usa.",أليكسيس دوبري، التي توجت بلقب ملكة جمال نيو مكسيكو عام 2013 ومرة أخرى عام 2015، من ألاموغوردو. ماي شانلي، التي أصبحت ملكة جمال الولايات المتحدة الأمريكية عام 1984، مثلت المدينة بصفتها ملكة جمال نيو مكسيكو الأمريكية.,VALIDATED,WIKI_C_08079,C,"Alexis Duprey , crowned Miss New Mexico in 2013 and again in 2015 , is from Alamogordo . Mai Shanley , who became Miss USA 1984 , represented the city as Miss New Mexico USA .",35
data55056,"لونج ديال شركة هونغ كونغ إيرلاينز الجديد ""كلوب باوهينيا"" بدات الخدمة نهار 27 يونيو 2014.","lonj dial shirkat Hong Kong Airlines l-jdida ""Club Bauhinia"" bdat l-khdma nhar 27 yunyu 2014.","بدأت صالة طيران هونغ كونغ الجديدة ""كلوب باوهينيا"" عملياتها في السابع والعشرين من يونيو 2014.",VALIDATED,DATA_23946,B,"The brand new Hong Kong Airlines Lounge "" Club Bauhinia "" has started operations on June 27 , 2014 .",20
data55057,لفنار ديال الجزيرة الدائرية كاينة نيشان فالجنوب ديال الجزيرة، فالجزيرة الصغيرة و اللي ما ساكن فيها حد اللي سميتها الجزيرة الدائرية. الضو تبنى ف 1894 و ولا خدام أوتوماتيكيا ف 1924. بدات ترميمات كبيرة ف السبعينات و الشكل الخارجي و البنية تصلحو من ديك الساعة.,"lifnar dyal ljzira ddayriya kayna nishan faljonoob dyal ljzira, faljzira sghira w lli ma sakin fiha had lli smitha ljzira ddayriya. Ddo tsbna f 1894 w wala khdam otomatikan f 1924. bdat trmimat kbrira f sb3iniyat w shkl lokhari w lbnya tslho mn dik sa3a.",تقع منارة الجزيرة الدائرية جنوب الجزيرة مباشرة على جزيرة راوند الصغيرة غير المأهولة. بني الضوء عام 1894 وأتمت آلياته عام 1924. بدأت جهود ترميم واسعة في السبعينيات وتم إصلاح الواجهة الخارجية والهيكل منذ ذلك الحين.,VALIDATED,WIKI_D_03850,D,"The Round Island Lighthouse is located just south of the island on the small , uninhabited Round Island . The light was built in 1894 and automated in 1924 . Extensive restoration efforts began in the 1970s and the exterior and structure have since been repaired .",45
data55058,إدارة أمن النقل فميريكان كتنصح العيالات ما يلبسوش لي سوتيانات اللي فيهم الحديد حيت كيديرو مشكل فالديكتور ديال الميتال. واخا أغلبية العيالات اللي كيسافرو كيلبسوهم بلا مشكل، يقدر يعتمد على المادة اللي مصايب منها الحديد.,"idarat amn an-naql f-amrikan katensah l3iyalat ma yelbesouch li sotianat lli fihom l7did 7it kaydirou chkel f-detector dyal l metal. wakha aghlabiyat l3iyalat lli kesafro kilebsouhom bla chkel, yeqder y3tamad 3la l madda lli msayeb menha l 7did.",توصي إدارة أمن النقل الأمريكية بأن لا ترتدي النساء حمالات الصدر ذات الأسلاك الداعمة لأنها قد تثير أجهزة الكشف عن المعادن. وعلى الرغم من أن معظم المسافرات يرتدينها دون أي مشكلة، إلا أن الأمر قد يعتمد على مادة السلك الداعم.,VALIDATED,WIKI_D_08137,D,"The United States Transportation Security Administration recommends that women do not wear underwire bras because they can set off metal detectors . Though most women travelers wear them without any problem , it can depend on the material of the underwire .",35
data55059,تلاميد خرجو شي تمارين ديال الماذن,tlamed 5rjou chi tamarin dial lmaths,حل الطلاب بعض مسائل الرياضيات,VALIDATED,DATA_6356,A,the students have solved some mathematics problems,7
data55060,في 16 فبراير 2012، عبد المطلب، اللي كان اعترف بالذنب ولكن بقى ما نادمْش، تحكم عليه بالمؤبد بلا ما يخرج من الحبس نهائياً.,"fi 16 fibrayer 2012, Abdelmouttalib, lli kan a3taraf bddanb walakin bqa ma nademsh, t7ekm 3lih bel-mu'abbad bla ma ykhrej mn l7ebs nihai'yan.",في السادس عشر من فبراير 2012، حُكم على عبد المطلب، الذي أقر بالذنب ولكنه ظل غير نادم، بالسجن المؤبد دون إمكانية الإفراج المشروط.,VALIDATED,DATA_22705,B,"On February 16 , 2012 , Abdulmutallab , who had pleaded guilty but remained unrepentant , was sentenced to life in prison without the possibility of parole .",28
data55061,فالنظائر لي كوزن أقل من 103 (النظير المستقر)، طريقة التحلل الأساسية هي أسر الإلكترون والمنتوج الأساسي للتحلل هو الروثينيوم. فالنظائر لي كوزن كبر من 103، طريقة التحلل الأساسية هي انبعاث بيتا والمنتوج الأساسي هو البالاديوم.,"fel ndhayr lli koozn aql mn 103 (endhayr lmustqr), tri9at et7allol essasya hiya asr el elektron w lmnto9j el asasil l et7allol howa er rotinium. Fel ndhayr lli koozn kbr mn 103, tri9at et7allol essasya hiya enbi3at beta w lmnto9j el asasil howa el palladium.",في النظائر التي تزن أقل من 103 (النظير المستقر)، يكون وضع الاضمحلال الأساسي هو أسر الإلكترون، ويكون ناتج الاضمحلال الأساسي هو الروثينيوم. أما في النظائر التي تزن أكبر من 103، فيكون وضع الاضمحلال الأساسي هو انبعاث بيتا، ويكون الناتج الأساسي هو البالاديوم.,VALIDATED,WIKI_D_03229,D,"In isotopes weighing less than 103 ( the stable isotope ) , the primary decay mode is electron capture and the primary decay product is ruthenium In isotopes greater than 103 , the primary decay mode is beta emission and the primary product is palladium .",35
data55062,تعطلي بزّاف باش تغامر.,t3etli bezzaf bach tghaamer.,لقد فات الأوان للمخاطرة,VALIDATED,DATA_11036,A,you are too late to gamble,6
data55063,المجموعة الحاسمة الثالثة ديال الابتكارات كانت خطوة كبيرة لقدام فالتسجيل المباشر ديال الصوت و الطريقة الفعالة باش يتعاود يتسمع.,lmajmo3a l7assima ttalta dyal libtikarat kant khtwa kbira l9ddam fttasjil lmubashir dyal ssot w ttari9a lfi3ala bash it3awd itsma3.,مثلت المجموعة الثالثة من الابتكارات الحاسمة خطوة كبيرة إلى الأمام في كل من التسجيل المباشر للصوت وإعادة تشغيله بفعالية.,VALIDATED,DATA_16624,B,The third crucial set of innovations marked a major step forward in both the live recording of sound and its effective playback :,23
data55064,"ريدجواي، روبرت. 1923 (أبريل). ""واحد الطلب ديال الرد البال فاش كتستعمل شي حاجة ماعرفتش شنو هي"". أوك 40 (2): 375-376. جبدوه نهار 28 يناير 2013.","ridjway, robert. 1923 (april). ""wa7ed etaleb dyal er-red el-bal fash ketest3mel shi 7aja ma3reftch shno hiya"". ouk 40 (2): 375-376. jebdouh nhar 28 yanayir 2013.","ريدجواي، روبرت. 1923 (أبريل). ""مناشدة للحذر في استخدام <unk>"". ذا أوك 40 (2): 375 – 376. استرجع في 28 يناير 2013.",VALIDATED,WIKI_C_11086,C,"Ridgway , Robert . 1923 ( April ) . "" A Plea for Caution in the Use of <unk> . "" The Auk 40 ( 2 ) : 375 – 376 . Retrieved 28 January 2013 .",25
data55065,نيد بيلامي بدور توم ميسن: المعالج التقويمي ديال كاثي اللي تختاروه باش يكون البديل ديال لوجوسي ف فيلم الخطة 9.,Nedd Bellamy bda door Tom Mason: Lmou3alij taqwimi dyal Kathy li tkhtarouh bash ikoun lbadil dyal Lugosi f film lkhetta 9.,"نيد بيلامي بدور توم ميسون: المعالج التقويمي لكاثي الذي تم اختياره ليكون بديلاً لوغوسي في فيلم ""خطة 9"".",VALIDATED,DATA_24652,B,Ned Bellamy as Tom Mason : Kathy 's chiropractor who is chosen to be Lugosi 's stand @-@ in for Plan 9 .,23
data55066,غادي تكون حيوية بزاف,ghadi tkon 7ayawiya bzaf,سيكون الأمر مفعمًا بالحيوية,VALIDATED,DATA_3774,A,It's going to be very lively,6
data55067,ناوسيكا ديال وادي الرياح: ألبوم بيانو سولو < للاستعمال السهل مع باير > خرج نهار 15 مارس 1992,Nausicaa dyal wadi rriyah: album piano solo < lilisti3mal ssahel m3a Bayer > khrej nhar 15 mars 1992.,ناوسيكا من وادي الرياح: ألبوم بيانو منفرد < للاستخدام السهل مع باير > صدر في 15 مارس 1992.,VALIDATED,DATA_16898,B,Nausicaä of the Valley of Wind : Piano Solo Album < For the Easy Use with Beyer > released 15 March 1992,22
data55068,"حتى فصغرو (""Smells Like Teen Spirit"" b @-@ side) – 3:03","7tta f sghro (""Smells Like Teen Spirit"" b @-@ side) – 3:03","حتى في شبابه (""Smells Like Teen Spirit"" b @-@ side) – 3:03",VALIDATED,DATA_24053,B,""" Even in His Youth "" ( "" Smells Like Teen Spirit "" b @-@ side ) – 3 : 03",21
data55069,عمرك ت سبح بيتك بهاد الون,3emrek t sbe5 bitek bhad loun,لا ينبغي لك أبداً أن تصبغ غرفتك بهذا اللون,VALIDATED,DATA_12171,A,you should never paint your room with this color,9
data55070,ڭيدينڭز إدوارد ج. (1889). حكام مسيحيين ميريكانيين: أولا الدين ورجال الحكومة. نيويورك، نيويورك: برومفيلد وشركاه. صفحة 551.,"giddings, edward j. (1889). hukam masihiyyin amerikan: aw, ad-din w rijal al-hukuma. new york, new york: bromfield & co. sa. 551.",كيدينغز، إدوارد ج. (1889). حكام مسيحيون أمريكيون: أو، الدين ورجال الحكومة. نيويورك، نيويورك: برومفيلد وشركاه. ص. 551.,VALIDATED,WIKI_C_02837,C,"Giddings , Edward J. ( 1889 ) . American Christian Rulers : Or , Religion and Men of Government . New York , NY : Bromfield & Co. p . 551 .",17
data55071,شارل الثاني (29 ماي 1630 – 6 فبراير 1685) كان هو الملك ديال ثلاثة د الممالك: إنجلترا، سكوتلاندا، و إيرلاندا.,"charls t-tani (29 may 1630 - 6 fibrayr 1685) kan huwwa l-malik dyal tlata d l-mamalik: inglaterra, scotlanda, u irlanda.",كان تشارلز الثاني (29 مايو 1630 - 6 فبراير 1685) ملكًا على الممالك الثلاث: إنجلترا واسكتلندا وأيرلندا.,VALIDATED,DATA_17275,B,"Charles II ( 29 May 1630 – 6 February 1685 ) was monarch of the three kingdoms of England , Scotland , and Ireland .",25
data55072,الصفات اللي كاتميّز حيوان على أغلبية ولا كل الحيوانات الآخرين كيتسماو تشخيص. شي صفات فاللتشخيص كيكونو حتى صفات مميزة خاصة، ولكن ماشي كولشي. الصفة المميزة الخاصة هي واحد الخاصية تشريحية فريدة لي كاينة غير عند واحد الكائن الحي بالذات.,"lifat lli katmayiz 7iwan 3la aghlabiya wla kol l7iwanat lakhrin kiytsamaw tashkhis. chi lifat ftashkhis kaykunu 7ta lifat momayza khassa, walakin machi kolchi. lifat momayza khassa hi wa7d khasiya tashri7iya farida li kayna ghi 3nd wa7d lkayin l7i bzdbt.",الصفات التي تميز حيواناً عن معظم أو كل الحيوانات الأخرى تسمى تشخيصاً. بعض الصفات الموجودة في التشخيص، ولكن ليس كلها، تكون أيضاً صفات مميزة خاصة. الصفة المميزة الخاصة هي سمة تشريحية مميزة وفريدة لكائن حي معين.,VALIDATED,WIKI_D_11413,D,"Features that differentiate an animal from most or all others are called a diagnosis . Some , but not all , of the features in a diagnosis are also autapomorphies . An autapomorphy is a distinctive anatomical feature that is unique to a given organism .",39
