data_id,id,classe,darija_arabic,darija_arabizi,english,modern_standard_arabic,english_word_count,status,qc_changed_fields,qc_notes
data73054,DATA_4849,A,شكران حيت بقيتي معايا,chokran 7it b9iti m3aya,thank you for staying with me,شكرا لانك بقيت معي,6,CLEAN,english;modern_standard_arabic,"Normalized fields: english, modern_standard_arabic."
data73055,WIKI_C_04728,C,الفرقه د كندا ف بطوله العالم د الهوكي جينيور ف 2005 طحنوا كولشي، ماركاو 35 بيت ضد 6 فالماتشات اللي وصلوهم للنهايي ضد روسيا.,"lfer9a d canada f butulat l3alam d hockey junior f 2ookh ta7naw kolchi, markaw 35 bit d 6 f lmatchat lli waslohom l finale d russya.","the canadian team at the 2005 world junior ice hockey championships dominated the tournament, outscoring their opposition 35–6 in the games leading up to the final against russia.",سيطرت الفرقه الكنديه في بطوله العالم لهوكي الجليد للناشيين عام 2005 علي البطوله، مسجله 35 هدفا مقابل 6 اهداف للخصوم في المباريات التي سبقت المباراه النهاييه ضد روسيا.,28,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
data73056,DATA_6838,A,كايصوب واحد طونوبيل,kayssob wa7d tonobil,he is building a car,انه يبني سياره,5,CLEAN,english;modern_standard_arabic,"Normalized fields: english, modern_standard_arabic."
data73057,DATA_2679,A,ولكن مازال كانسمعهم,walakin mazal kansmahom,but i still hear them,لكنني ما زلت اسمعهم,5,CLEAN,english;modern_standard_arabic,"Normalized fields: english, modern_standard_arabic."
data73058,DATA_21092,B,مس سايڭون (1989) بشخصيه المهندس - جايزه اوليفييه لاحسن ممثل ف مسرحيه موسيقيه، جايزه توني لاحسن ممثل ف مسرحيه موسيقيه,"miss saigon (1989) b shakhsiat lmohandiss-jaizat olivier l ahssan momattil f massrahiya mossiqiya, jaizat tony l ahssan momattil f massrahiya mossiqiya","miss saigon (1989) as the engineer – olivier award for best actor in a musical, tony award for best actor in a musical",مسرحيه الانسه سايغون (1989) بدور المهندس – جايزه اوليفييه لافضل ممثل في مسرحيه موسيقيه، جايزه توني لافضل ممثل في مسرحيه موسيقيه,23,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
data73059,DATA_13160,B,ف 10 دجنبر 1977، الطاقم الاول اللي سكن تما، يوري رومانينكو و جورجي ڭريتشكو، وصلو علي سويوز 26 و بقاو ف ساليوت 6 لمده 96 يوم.,"f 10 doujanbir 1977, t-taqm l-awwal li sken t-temma, yuri romanenko u georgi grechko, wslu 3la soyuz 26 u bqaw f salyut 6 l-moddat 96 yum.","on 10 december 1977 the first resident crew, yuri romanenko and georgi grechko, arrived on soyuz 26 and remained aboard salyut 6 for 96 days.",في 10 ديسمبر 1977، وصل الطاقم المقيم الاول، يوري رومانينكو وجورجي غريتشكو، علي متن سويوز 26 وظلوا علي متن ساليوت 6 لمده 96 يوما.,25,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
data73060,WIKI_C_09666,C,التلج اللي فوق مونت رينييه قادر يدير شي سيول ديال التراب، بحال الفيضانات اللي كيخرجو من التلج وخا ماكايكون لا بركان لا والو. التلج ديال ساوث تاكوما دار شي تلاتين فيضان فالتمنينات والتسعينات اللولا، و عاودها تاني فڭشت 2015.,"telj li faw mount rainier qader ydir chi suyul dyal trub, bhal l feydnat li kiykhroju mn telj wkha makaykun la borkan la walu. telj dyal south tahoma dar chi tlatin feydan f temnaynat w tsinat l lawla, w 3awdha tani f aghustus 2o15.","the glaciers on mount rainier can generate mudflows, like the floods that come from the glaciers even though there is no volcano or anything. the south tahoma glacier caused about thirty floods in the 1980s and early 1990s, and again in august 2015.",يمكن للثلوج فوق جبل رينييه ان تسبب سيولا طينيه، مثل الفيضانات التي تخرج من الثلوج رغم عدم وجود بركان او شي من هذا القبيل. تسبب ثلج ساوث تاكوما في حوالي ثلاثين فيضانا في الثمانينيات واوايل التسعينيات، وكرر ذلك في اغسطس 2015.,43,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
data73061,DATA_7510,A,40 يوم لاول مره في حياتها,40 youm lawla marra f 7yatha,the first 40 days in her life,الاربعون يوما الاولي في حياتها,7,FLAGGED,darija_arabic;modern_standard_arabic;status,"Normalized fields: darija_arabic, modern_standard_arabic. Cross-lingual mismatch suspected between Darija Arabic and Arabizi columns."
data73062,WIKI_C_00812,C,دم القيصر، واحد الكتاب ديال الجريمه ديال البرت بيل جونيور، فيه بليني كيلعب دور المحقق والمورخ تاسيتوس هو اللي كيعاونو، في عهد دوميتيان.,"dm lqaysir, wa7d lktab dyal ljrima dyal albert bell jr., fih plini kil3ab dor lmo7a9i9 w lmo2arikh tacytus howa lli kay3awno, f 3ahd domitian.","blood of caesar, a crime novel by albert bell jr., featuring pliny as the detective and the historian tacitus as his assistant, during domitian's reign.",دم القيصر، روايه جريمه لالبرت بيل جونيور، تقدم بليني كمحقق والمورخ تاسيتوس كمساعده، خلال عهد دوميتيان.,25,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
data73063,DATA_17084,B,البيض شي مرات كيتعتابر رايد ديال البييه. عالم الطيور البريطاني جيمس فيشر كيعطي نظره متوازنه كثر، كتب ف 1941:,"lbid shi mrat kit3tabr ra2id dyal lbia. 3alam tiyor lbritani jims fisher ki3ti ndra mtwazna kter, kteb f 1941:","white is sometimes treated as a pioneer of ecology. the british ornithologist james fisher gives a more balanced view, writing in 1941:",يعامل الابيض احيانا كرايد لعلم البييه. يقدم عالم الطيور البريطاني جيمس فيشر وجهه نظر اكثر توازنا، كاتبا في عام 1941:,22,CLEAN,darija_arabic;english;modern_standard_arabic,"Normalized fields: darija_arabic, english, modern_standard_arabic."
data73064,DATA_2414,A,اشمن بلاد مشيتي؟,achmn blad mchiti?,which country did you go to?,الي اي بلد ذهبت؟,6,CLEAN,darija_arabic;english;modern_standard_arabic,"Normalized fields: darija_arabic, english, modern_standard_arabic."
data73065,DATA_20997,B,"و من بعد عطاو لبرادمان ثلاثه ديال التحيات والجمهور ڭنا ""For he's a jolly good fellow"" قبل ما يتفرقو.","u men ba3d 3taw lbradman tlata dyal t-t7iyyat u l-joumhour ghanna ""for hes a jolly good fellow"" qbel ma ytfarqou.","bradman was then given three cheers and the crowd sang ""for he's a jolly good fellow"" before dispersing.","ثم منحوا برادمان ثلاث تحيات، وغني الجمهور ""فهو رجل مرح"" قبل ان يتفرقوا.",18,FLAGGED,darija_arabic;darija_arabizi;english;modern_standard_arabic;status,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic. Language mismatch: Darija Arabic field contains Latin script."
data73066,DATA_6713,A,ما عمرك مادرتي ليوڭا؟,ma3mrk maderti lyoga?,have you ever tried yoga?,هل جربت اليوغا من قبل؟,5,FLAGGED,darija_arabic;english;status,"Normalized fields: darija_arabic, english. Cross-lingual mismatch suspected between Darija Arabic and Arabizi columns."
data73067,WIKI_C_08389,C,الخربه ديال قصر التويلري هرسوها عام 1882 فعهد الجمهوريه الفرنسيه الثالثه. البافيون د لا فلور والبافيون د مارسون هما اللي بقاو من داك الشي ديال قصر التويلري.,lkhirba dial qasr t-twilri harsuha 3am 1882 f 3ahd l-jumhuria l-fransia t-talta. l-bavillon de la flore w l-bavillon de marsan huma lli bqaw mn dak shi dial qasr t-twilri.,the ruins of the tuileries palace were pulled down in 1882 during the french third republic. the pavillon de flore and the pavillon de marsan are the only parts left from the tuileries palace.,تم هدم اطلال قصر التويلري عام 1882 خلال الجمهوريه الفرنسيه الثالثه. جناح الزهره وجناح مارسون هما الجزان الوحيدان من مجمع قصر التويلري اللذان ما زالا قايمين.,34,CLEAN,darija_arabic;english;modern_standard_arabic,"Normalized fields: darija_arabic, english, modern_standard_arabic."
data73068,WIKI_C_05937,C,"ميكاييل (2004)، ""الوضع ديال التصنيف ديال المجموعات المنتهيه البسيطه"" (PDF)، اشعارات ديال الجمعيه الامريكيه للرياضيات 51 (7): 736-740.","mikail (2oo4), ""lwd3 dial tasiif dial lmjmu3at lmntahya lbasita"" (pdf), is3arat dial ljama3iya l2amrikiya lirriyadiyat 51 (7): 736-740.","mikail (2004), ""the status of the classification of the finite simple groups"" (pdf), notices of the american mathematical society 51 (7): 736–740.","ميكاييل (2004)، ""وضع تصنيف المجموعات المنتهيه البسيطه"" (PDF)، اشعارات الجمعيه الامريكيه للرياضيات 51 (7): 736-740.",22,FLAGGED,darija_arabic;darija_arabizi;english;modern_standard_arabic;status,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic. Language mismatch: Darija Arabic field contains Latin script. Language mismatch: MSA field contains Latin script."
data73069,DATA_14540,B,نال صليب الفارس في 2 مارس 1942 بصفته اس اس شتاندارتن فوهرر وقايد لوا الفرسان ديال الاس اس.,nal salib al-faris fi 2 mars 1942 b sifto iss iss shtandarten fuhrer o qaid liwa al-fursan dyal al-iss iss.,received the knight's cross on 2 march 1942 as ss standartenführer and commander of the ss cavalry brigade.,نال صليب الفارس في 2 مارس 1942 بصفته اس اس شتاندارتن فوهرر وقايد لوا الفرسان التابع لقوات الامن الخاصه (اس اس).,18,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
data73070,WIKI_C_06348,C,ستراسبورڭ سالا العام بتلاته بوينت زيرو زيرو في ليرا و واحد بوينت زيرو خمسه في الويب، تمانيه ديال الرباح، تسعود ديال الخسارات، و 191 سترايك اوت في 183 اينينݣ اللي لعب.,"strasburg sala l3am b tlata point zero zero f l era w wa7d point zero khamsa f l whip, tamnya dyal rab7, tsoud dyal khasarat, w 191 strike out f 183 innings li la3ab.","strasburg finished the year with a 3.00 era, 1.05 whip, 8 wins, 9 losses, and 191 strikeouts over 183 innings pitched.",اختتم ستراسبورغ العام بمعدل نقاط مكتسبه 3.00، ومعدل المشي والضرب 1.05، و8 انتصارات، و9 خسارات، و191 ضربه اقصا علي مدار 183 اينينغ لعب.,21,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
data73071,DATA_11539,A,نتحداك ماتعانيش فهاد البلاد,nt7edak mat3anich fhad lblad,i dare you not to suffer in this country,اتحداك الا تعاني في هذا البلد,9,CLEAN,english;modern_standard_arabic,"Normalized fields: english, modern_standard_arabic."
data73072,DATA_14787,B,نهار 21 يناير 2001، درو دخل للماتش ديال الرويال رامبل كضيف ديال فينس مكمان.,"nhar 21 yanayr 2oo1, drew dkhel lmatch dyal royal rumble k dif dyal vince mcmahon.","on january 21, 2001, drew entered the royal rumble match as vince mcmahon's guest.",في 21 يناير 2001، دخل درو كضيف فينس مكمان في مباراه رويال رامبل.,14,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
data73073,DATA_12341,A,عمرك جربتي ترجع بهاد الطريقه لور,3emrek jerebti terja3 bhad tariqa lour,have you ever tried to go back this way?,هل جربت ان ترجع بهذه الطريقه الي الورا؟,9,CLEAN,darija_arabic;english;modern_standard_arabic,"Normalized fields: darija_arabic, english, modern_standard_arabic."
data73074,DATA_8919,A,انا ڭادي ن قابل واحد لبزناس,ana ghadi n 9aabel wa7ed lbeznass,i am going to meet a drug dealer,سوف اقابل تاجر مخدرات,8,CLEAN,darija_arabic;english;modern_standard_arabic,"Normalized fields: darija_arabic, english, modern_standard_arabic."
data73075,DATA_6626,A,الثمن كان عالي علي السيان,tman kan 3ali 3la lsyan,the price was high for the buyer,كان الثمن غاليا علي الزبون,7,CLEAN,darija_arabic;english;modern_standard_arabic,"Normalized fields: darija_arabic, english, modern_standard_arabic."
data73076,WIKI_D_07619,D,ف 1991، الملازم كاترين ولات اول مرا مريكيه لاتينيه الاصل باش تحكم ف وحده بحريه فاش شدات القياده ديال USCGC Bainbridge Island. كانت حتي هيا اول مرا مريكيه لاتينيه الاصل تكون ضابطه استخبارات ف خفر السواحل.,"f 1991, lmlazma katherine welat awel mra mrickiya latiniya l asl bach te7kem f wa7da ba7riya fash sheddet lqiyada dyal uscgc bainbridge island. kanet 7ta hiya awel mra mrickiya latiniya l asl tkoun dabetit istikhbarat f khafir ssewahil.","in 1991, ltjg katherine became the first hispanic american female to command an afloat unit when she took command of uscgc bainbridge island. she was also the first hispanic american female intelligence officer in the coast guard.",في عام 1991، اصبحت الملازمه كاترين اول امراه امريكيه من اصل لاتيني تقود وحده عايمه عندما تولت قياده السفينه USCGC Bainbridge Island. كانت ايضا اول ضابطه استخبارات امريكيه من اصل لاتيني في خفر السواحل.,37,FLAGGED,darija_arabic;darija_arabizi;english;modern_standard_arabic;status,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic. Language mismatch: Darija Arabic field contains Latin script. Language mismatch: MSA field contains Latin script."
data73077,WIKI_D_02844,D,حتي لاواخر ديال القرن 19، كانت مكڭيل مالكه حتي هي علي اراضي ديال بارك فوق قمه ويستماونت، اللي كانت مستعمله كجرده نباتيه. فبدويه القرن العشرين، مكڭيل عطات هاد الارض كهديه لمدينه ويستماونت بشرط تولي محميه ديال الطيور.,"7atta l2awakhir dyal lqarn 19, kanet makgil malika 7atta hiya 3la aradi dyal park fawq qimmet westmount, lli kanet mosta3mela k jerdah nabatiyah. fbadiwiyat lqarn 20, makgil 3taat had l2ard kahdiyah limadint westmount bshart twelli mahmiyah dyal ttoyoure.","until the late 19th century, mcgill had also owned parkland atop the westmount summit, which was used as a botanical garden. in the early twentieth century, mcgill donated the land to the city of westmount on the condition that it become a bird sanctuary.",حتي اواخر القرن التاسع عشر، كانت مكغيل تمتلك ايضا اراضي متنزه فوق قمه ويستماونت، والتي كانت تستخدم كحديقه نباتيه. في اوايل القرن العشرين، تبرعت مكغيل بالارض لمدينه ويستماونت بشرط ان تصبح محميه للطيور.,44,FLAGGED,darija_arabic;darija_arabizi;english;modern_standard_arabic;status,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic. Cross-lingual mismatch suspected between Darija Arabic and Arabizi columns."
data73078,DATA_1641,A,جاري حمزه كاياكل ڭير زلايف ديال السوبا، هادشي صحيح.,"jari hamza kayakl ghir zlayf dyal soba, hadchi s7i7.","my neighbor hamza only eats soup dumplings, that's true.",جاري حمزه ياكل فقط الزلايف مع الحسا، هذا صحيح.,9,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
data73079,DATA_23156,B,النظام الصوتي اللي كنوصفو هنا هو مجموعه الاصوات اللي كاينه فاللڭه القياسيه اللي كتهضر، و ممثله برموز مناسبه من الابجديه الصوتيه الدوليه (IPA).,"n-nidam s-sowti lli kanwesfu hna huwa mejmu3at l-aswat lli kayna f-l-lugha l-qiyasiya lli kat-tehdar, w mmettla b-rumuz munasiba mn l-abjadiya s-sawtiya d-dawliya (ipa).","the phonological system described here is the inventory of sounds of the standard spoken language, represented using appropriate symbols from the international phonetic alphabet (ipa).",النظام الصوتي الموصوف هنا هو مخزون الاصوات للغه المنطوقه القياسيه، ممثله باستخدام رموز مناسبه من الابجديه الصوتيه الدوليه (IPA).,25,FLAGGED,darija_arabic;darija_arabizi;english;modern_standard_arabic;status,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic. Language mismatch: Darija Arabic field contains Latin script. Language mismatch: MSA field contains Latin script."
data73080,DATA_10445,A,مانضنش ڭادي نلخص هادشي,mandench ghadi nlekhess hadchi,i do not think i will summarize this,لا اعتقد انني سالخص هذا,8,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
data73081,DATA_15141,B,طولبيرت، فرانك اكس. (1953). نيمان ماركوس، تكساس: قصه المتجر ديال دالاس اللي كيحمر الوجه. نيويورك: هنري هولت.,"tolbert, frank x. (1953). neiman-marcus, texas: qessat l-mtajr dyal dallas lli kay-hemmar l-wjeh. new york: henry holt.","tolbert, frank x. (1953). neiman marcus, texas: the story of the dallas store that shames. new york: henry holt.",تولبرت، فرانك اكس. (1953). نيمان ماركوس، تكساس: قصه متجر دالاس الذي يخزي. نيويورك: هنري هولت.,19,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
data73082,DATA_5476,A,هاد السرول ماجاش معايا,had sserwal majach m3aya,the pants do not suit me,هذا البنطال لا يناسبني,6,CLEAN,english,Normalized fields: english.
data73083,WIKI_D_05757,D,ف 14 يونيو، ازوما (هي ويا ياكومو، الطرادات المدرعه نيشين وكاسوڭا) تعينات فالفرقه التالته، تحت القياده ديال نايب الادميرال، باش يشدو سخالين ف شهر يوليوز.,"f 14 jwan, azuma (hiya wya yakumo, trdat lmdr3a nishin w kasuga) t3aynat falferqa taltata, ta7t lqiyada dyal na2ib l admiral, bash yshddu sakhalin f chher yulyuz.","on 14 june, azuma (along with yakumo, the armored cruisers nisshin and kasuga) was assigned to the 3rd fleet, under the command of vice admiral, for the capture of sakhalin in july.",في الرابع عشر من يونيو، تم تعيين ازوما (بالاضافه الي ياكومو، الطرادين المدرعين نيشين وكاسوغا) ضمن الاسطول الثالث، تحت قياده نايب الادميرال، للاستيلا علي سخالين في يوليو.,32,CLEAN,darija_arabic;darija_arabizi;english;modern_standard_arabic,"Normalized fields: darija_arabic, darija_arabizi, english, modern_standard_arabic."
